华侨城洋房麓园、叠加洋房、环境悠美宜居、诚心出售,翡翠天域麓园  -栖霞其它,4室2厅 | 190.42平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,520,"27,309元/平"
新空毛坯 全明户型 前面无遮挡,金浦御龙湾 -迈皋桥,3室1厅 | 88.84平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,260,"29,267元/平"
楼层好，视野宽阔，滨江风光带 燕子矶新城,电建海赋尚城 -万寿,3室1厅 | 99.33平米 | 南 | 其他 | 低楼层(共32层)  | 暂无数据,310,"31,210元/平"
满五唯一 楼层好 物业负责 模范小区 南北通透采光好,省电力公司宿舍 -迈皋桥,3室1厅 | 72.82平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,159,"21,835元/平"
保利朗诗蔚蓝科技住宅恒温恒湿恒氧 大三房南北通透,保利朗诗蔚蓝 -晓庄,3室1厅 | 136.27平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,440,"32,289元/平"
江畔人家锦江苑 楼层好 适合居住,江畔人家锦江苑 -栖霞其它,3室1厅 | 87.57平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,90,"10,278元/平"
三房朝南，采光好，有阳光房和露台不算面积,馨怡园 -迈皋桥,3室1厅 | 90.78平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,210,"23,133元/平"
洋房 得房率 安静优美 地铁 旁 户型方正 未入住,翡翠天域麓园  -栖霞其它,4室1厅 | 165.16平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,470,"28,458元/平"
诚心出售  看房方便  证全满五,摄山星城尤山苑 -栖霞其它,3室2厅 | 85.02平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,110,"12,939元/平"
青秀城三期 精装修交付 2019年房龄 诚意出售 价格好谈,中国铁建青秀城 -万寿,2室2厅 | 89平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,260,"29,214元/平"
双地铁 摄山星城110平 顶楼带阁楼 业主急售 价格好谈,摄山星城观梅苑东区 -栖霞其它,3室1厅 | 107.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,118,"10,956元/平"
一楼带院子 带下跃  纯毛坯 看房随时方便 配套成熟,高科荣境二期 -仙林,5室2厅 | 240.48平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,719,"29,899元/平"
此房满五不唯一 采光视野好 七号线地铁口 中高楼层,新城金郡 -尧化门,3室2厅 | 95.64平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,202,"21,121元/平"
七号线地铁口中间楼层大平层三开间朝南,华润幸福里 -尧化门,4室2厅 | 133.2平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,350,"26,277元/平"
栖霞万寿青秀城 满二年 产权清晰 电梯 次新房7号线,中国铁建青秀城 -万寿,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,270,"30,338元/平"
低密度融信 精装地暖次新房 房主诚心出售 步行双地铁,融信世纪东方 -仙林,3室2厅 | 98.94平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,322,"32,545元/平"
华侨城  开发商精装 小洋房 未入住 公办南外,翡翠天域麓园  -栖霞其它,3室2厅 | 114.9平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,298,"25,936元/平"
采光好 精装修 地暖 空调 户型方正，交通便利,融信世纪东方 -仙林,3室1厅 | 88.66平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,330,"37,221元/平"
次新房 新空未入住可做婚房  保利朗诗蔚蓝 大三房户型,保利朗诗蔚蓝 -晓庄,3室1厅 | 135.23平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,460,"34,017元/平"
此房满五年 业主诚心卖房 看房有钥匙 业主重新装修了,东城世家 -尧化门,3室2厅 | 112.91平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,299,"26,482元/平"
双卧朝南 无遮挡  小区安静 房龄新拎包入住诚心卖,省电力公司宿舍 -迈皋桥,3室1厅 | 72.81平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,140,"19,229元/平"
满五年 毛坯房 户型方正 绿化好楼层采光好。。。,新城香悦澜山 -仙林,4室2厅 | 140.91平米 | 南 北 | 其他 | 高楼层(共11层)  | 板塔结合,500,"35,484元/平"
简装三房、客厅阳台、采光无遮挡、诚心出售,华润幸福里 -尧化门,3室2厅 | 88.53平米 | 南 北 | 其他 | 低楼层(共18层)  | 塔楼,216,"24,399元/平"
此房满五年 业主诚心卖房 看房有钥匙 业主重新装修了,东城世家 -尧化门,3室2厅 | 112.91平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,299,"26,482元/平"
双地铁 摄山星城110平 顶楼带阁楼 业主急售 价格好谈,摄山星城观梅苑东区 -栖霞其它,3室1厅 | 107.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,118,"10,956元/平"
仙林湖万达茂 小区中间楼层 不临街 毛坯诚心出售,新城香悦澜山 -仙林,4室2厅 | 121.95平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,400,"32,801元/平"
高科二期  6米挑高 满两年 采光好   地铁二号线,高科荣境二期 -仙林,3室2厅 | 148.52平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,640,"43,092元/平"
新城高层视野很赞 ！！！！！！！,新城香悦澜山 -仙林,3室1厅 | 83.51平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,247,"29,578元/平"
栖霞 仙林湖 万达茂 边户 视野开阔 双地铁 满两年,万达茂御湖仕家一二期 -仙林,3室2厅 | 118.89平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,346,"29,103元/平"
精装修空调＋地暖，楼层好，采光充足，配套设施齐全。,翡翠天域麓园  -栖霞其它,3室1厅 | 88.33平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,185,"20,945元/平"
高科178改善户型 方正户型 百万装修 诚心出售,高科荣境二期 -仙林,4室2厅 | 177.07平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,750,"42,357元/平"
融信 次新房 地暖 中Y空调  未入住 有车位另售,融信世纪东方 -仙林,3室2厅 | 118.43平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,399,"33,691元/平"
融信 中秧空调带地暖 三房 楼层好 看房方便 满二,融信世纪东方 -仙林,3室2厅 | 88.66平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,298,"33,612元/平"
精装修 中楼层 户型方正 南北通透 采光好视野好,金地湖城艺境 -仙林,3室2厅 | 97.21平米 | 南 北 | 其他 | 中楼层(共25层)  | 板塔结合,345,"35,491元/平"
户型方正，通透性好，双阳台，楼层好，配套齐全,高科荣境二期 -仙林,3室2厅 | 122.84平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,545,"44,367元/平"
商品房 小区环境优美 业主诚心出售,中骏东原璟阅一期 -栖霞其它,3室2厅 | 94.47平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,115,"12,174元/平"
仙林湖畔 万达茂三期 湖景满两年 楼层佳采光好,万达茂御湖仕家三期 -仙林,4室2厅 | 140.78平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,439,"31,184元/平"
户型佳  三室朝南  采光好 视野开阔  业主诚心出售,融信世纪东方 -仙林,3室1厅 | 90.32平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,312,"34,544元/平"
龙湖物业 满五年 新空毛坯 小区中间 一楼,学仕风华苑 -仙林,3室2厅 | 98.73平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,228,"23,094元/平"
户型好 楼层好 采光充足 视野开阔 配套齐全,尚东花园 -仙林,2室2厅 | 86.71平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,286,"32,984元/平"
中间楼层 采光不挡 开发商精装修 业主诚心卖价格可谈,融信世纪东方 -仙林,3室2厅 | 88.65平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,310,"34,969元/平"
房型方正 无浪费 精装修交付 未入住过 好房急售有车位,融信世纪东方 -仙林,4室2厅 | 134.85平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,570,"42,270元/平"
精装未入住  楼层适中 地跌一号线笆斗山站 随时看房,招商1872公园里 -燕子矶,4室2厅 | 139.61平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,465,"33,308元/平"
满二精装，采光好，业主诚心出售。,翡翠天域麓园  -栖霞其它,3室2厅 | 115.36平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,290,"25,139元/平"
位置好 楼层好 视野开阔 小区环境优 满5年,华润幸福里 -尧化门,4室2厅 | 135.59平米 | 南 | 其他 | 低楼层(共18层)  | 塔楼,290,"21,389元/平"
和燕路小区 一楼带院子 精装修两房 1.7号线晓庄地铁站,和燕路小区 -晓庄,2室1厅 | 53.65平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,122,"22,740元/平"
迈皋桥地铁 长营村 中间楼层 诚心出售,长营村 -迈皋桥,2室1厅 | 43.91平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,103,"23,458元/平"
摄山星城 双开间朝南 厨卫朝北 交通便利,摄山星城闻兰苑 -栖霞其它,3室2厅 | 85.14平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,119,"13,977元/平"
保利朗诗蔚蓝科技住宅恒温恒湿恒氧 大三房南北通透,保利朗诗蔚蓝 -晓庄,3室1厅 | 136.27平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,440,"32,289元/平"
满五唯一 楼层好 物业负责 模范小区 南北通透采光好,省电力公司宿舍 -迈皋桥,3室1厅 | 72.82平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,159,"21,835元/平"
诚心出售 A级认证房源 楼上的面积不算产权,方圆绿茵 -迈皋桥,4室2厅 | 131.09平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,255,"19,453元/平"
采光无遮挡 户型方正通透性好 业主诚心出售 看房方便,北城嘉园 -万寿,2室2厅 | 79.89平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,228,"28,540元/平"
精装修 小高层 空调+地暖，采光充足，无遮挡,翡翠天域麓园  -栖霞其它,4室2厅 | 165.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,460,"27,852元/平"
双卧朝南 无遮挡  小区安静 房龄新拎包入住诚心卖,省电力公司宿舍 -迈皋桥,3室1厅 | 72.81平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,140,"19,229元/平"
业主诚心卖  双线地铁口  好楼层 无遮挡,晓庄47号小区 -晓庄,2室1厅 | 55.4平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,114,"20,578元/平"
又是纯新未入住，落花时节又逢君,高科荣境二期 -仙林,3室2厅 | 118.31平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,567,"47,925元/平"
业主诚心出售，看房提前约。视野好,嘉誉山 -迈皋桥,2室1厅 | 82.84平米 | 南 | 其他 | 高楼层(共28层)  | 暂无数据,276,"33,318元/平"
保利春天 复式 湖景 纯毛坯 看房方便有钥匙,保利罗兰春天 -仙林,3室2厅 | 129.44平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,445,"34,379元/平"
新城高层视野很赞 ！！！！！！！,新城香悦澜山 -仙林,3室1厅 | 83.51平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,247,"29,578元/平"
户型方正 采光无遮挡 业主诚心出售,新城香悦澜山 -仙林,3室2厅 | 87.99平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,285,"32,391元/平"
纯正边户 前排采光充足 中间楼层 诚心卖,新城香悦澜山 -仙林,2室2厅 | 83.29平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,265,"31,817元/平"
户型通透看房方便可以看山看江房龄新,翡翠天悦星园一期 -栖霞其它,3室2厅 | 92.23平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,220,"23,854元/平"
东方兰园  次顶楼 精装修三房 生活配套齐全 业主诚售,东方兰园 -万寿,3室1厅 | 105.16平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,318,"30,240元/平"
满五年不唯一，南北通透，一梯两户，板房户型,亚东城东区 -仙林,3室2厅 | 107.81平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,415,"38,494元/平"
中海燕矶听潮 精装三房 楼层好 无遮挡,中海燕矶听潮C区 -燕子矶,3室2厅 | 100.91平米 | 南 | 精装 | 高楼层(共23层)  | 暂无数据,370,"36,667元/平"
新城香悦澜山 边户 居家装修 采光视野好 诚心出售,新城香悦澜山 -仙林,3室2厅 | 121.35平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,430,"35,435元/平"
双地铁 摄山星城110平 顶楼带阁楼 业主急售 价格好谈,摄山星城观梅苑东区 -栖霞其它,3室1厅 | 107.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,118,"10,956元/平"
满五唯一 南北通透 楼层好 采光充足 视野好 湖景房,金地湖城艺境 -仙林,3室1厅 | 86.83平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,300,"34,551元/平"
翡翠天域麓园  3室2厅 南 北,翡翠天域麓园  -栖霞其它,3室2厅 | 131.77平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,305,"23,147元/平"
摄山星城 实用三房 中间楼层 装修拎包住  证全满五,摄山星城听竹苑 -栖霞其它,3室2厅 | 85.39平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,118,"13,819元/平"
花园洋房 中间位置  不临街 总高七层电梯房 视野好,大地伊丽雅特湾 -晓庄,3室2厅 | 95.22平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,358,"37,598元/平"
满五唯一 正规三房  07年商品房银城物业,馨怡园 -迈皋桥,3室2厅 | 109.6平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,303,"27,646元/平"
栖霞万寿青秀城 满二年 产权清晰 电梯 次新房7号线,中国铁建青秀城 -万寿,2室2厅 | 89平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,270,"30,338元/平"
仙林 南北通透大两房 中间层边户采光好,咏梅山庄 -仙林,2室2厅 | 90.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,257,"28,358元/平"
高科二期  6米挑高 满两年 采光好   地铁二号线,高科荣境二期 -仙林,3室2厅 | 148.52平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,640,"43,092元/平"
栖霞 仙林湖 万达茂 边户 视野开阔 双地铁 满两年,万达茂御湖仕家一二期 -仙林,3室2厅 | 118.89平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,346,"29,103元/平"
仙林湖万达茂 小区中间楼层 不临街 毛坯诚心出售,新城香悦澜山 -仙林,4室2厅 | 121.95平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,400,"32,801元/平"
尚东花园 3室2厅 南 北,尚东花园 -仙林,3室2厅 | 120.07平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,420,"34,980元/平"
华侨城翡翠天域好位置 好楼层 业主精装自住 拎包住,翡翠天悦星园一期 -栖霞其它,3室2厅 | 108.27平米 | 南 | 其他 | 中楼层(共34层)  | 暂无数据,262,"24,199元/平"
和燕路小区 一楼带院子 精装修两房 1.7号线晓庄地铁站,和燕路小区 -晓庄,2室1厅 | 53.65平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,122,"22,740元/平"
迈皋桥地铁 长营村 中间楼层 诚心出售,长营村 -迈皋桥,2室1厅 | 43.91平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,103,"23,458元/平"
精装未入住  楼层适中 地跌一号线笆斗山站 随时看房,招商1872公园里 -燕子矶,4室2厅 | 139.61平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,465,"33,308元/平"
洋房 得房率 安静优美 地铁 旁 户型方正 未入住,翡翠天域麓园  -栖霞其它,4室1厅 | 165.16平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,470,"28,458元/平"
采光无遮挡 户型方正通透性好 业主诚心出售 看房方便,北城嘉园 -万寿,2室2厅 | 79.89平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,228,"28,540元/平"
诚心出售 A级认证房源 楼上的面积不算产权,方圆绿茵 -迈皋桥,4室2厅 | 131.09平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,255,"19,453元/平"
保利朗诗蔚蓝  非顶楼 看房有钥匙 科技房 视野采光好,保利朗诗蔚蓝 -晓庄,3室1厅 | 134.96平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,480,"35,567元/平"
次新房 开发商精装修 地暖空调 采光视野通透无遮挡,融信世纪东方 -仙林,3室2厅 | 99.59平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,370,"37,153元/平"
保利朗诗蔚蓝 2018年商品房 三恒科技住宅 四季如春,保利朗诗蔚蓝 -晓庄,2室2厅 | 80.97平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,280,"34,581元/平"
近地铁 18年精装小三房 户型方正 中楼层 日照时长,尧顺佳园 -尧化门,3室1厅 | 68.63平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,146,"21,274元/平"
栖霞 满五年唯一 边户 总价低 位置好 采光充足 急卖,摄山星城尤山苑 -栖霞其它,3室2厅 | 85.02平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,102,"11,998元/平"
此房满2年，房子不临街，中间楼层  采光好,新城香悦澜山 -仙林,3室1厅 | 90.15平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,275,"30,505元/平"
地铁口  招商  物业好 人车分流 环优交便,招商1872 -万寿,3室2厅 | 87.68平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,297,"33,874元/平"
开发商精装，楼层好，次新房 ，业主诚心出售,融信世纪东方 -仙林,3室2厅 | 88.65平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,300,"33,841元/平"
万寿花苑 6号线地铁 电梯房 三房 诚售,万寿花苑 -万寿,3室1厅 | 88.4平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,216,"24,435元/平"
"仙林新村 格局好,采光好,视野开阔,配套设施齐全",仙林新村 -仙林,3室2厅 | 84.56平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,285,"33,704元/平"
仙龙湾二期 电梯洋房 双阳台 位置佳 东边户 精装修,仙龙湾山庄 -仙林,3室1厅 | 120平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,525,"43,750元/平"
商品房 小高层电梯房 全明大三室户型 中楼层 采光充足,新城尚座花园 -晓庄,3室1厅 | 108.84平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,280,"25,726元/平"
近地铁 2010年商品房 低密度 居住舒适感高 三室三楼,赞成佳邻美居 -尧化门,3室2厅 | 91.37平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,195,"21,342元/平"
南大和园 三房两卫 毛坯 小区中间位置安静 中间楼层,南大和园 -仙林,3室2厅 | 119.07平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,490,"41,153元/平"
中骏东原璟阅 商品房 人车分流 物业好,中骏东原璟阅一期 -栖霞其它,3室2厅 | 105.46平米 | 南 北 | 其他 | 高楼层(共19层)  | 板楼,130,"12,327元/平"
南大和园三室诚心卖 户型好 采光好  看房随时,南大和园 -仙林,3室2厅 | 100.64平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,445,"44,218元/平"
燕子矶板块 三房两卫 毛坯随意装修 中高楼层,电建海赋尚城 -万寿,4室2厅 | 124.35平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,410,"32,972元/平"
招商1872公园里 带露台 前排采光没问题 满二,招商1872公园里 -燕子矶,3室1厅 | 116.48平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,350,"30,049元/平"
晓庄47号小区 晓庄  行知园 西边户 采光好,晓庄47号小区 -晓庄,2室1厅 | 56.62平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,118,"20,841元/平"
栖霞区 欢乐谷旁 万达茂配套 摄山星城 满两年 近地铁,摄山星城尤山苑 -栖霞其它,3室2厅 | 85.05平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,113,"13,287元/平"
翡翠天域麓园  3室2厅 南 北,翡翠天域麓园  -栖霞其它,3室2厅 | 131.77平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,305,"23,147元/平"
满五唯一 南北通透 楼层好 采光充足 视野好 湖景房,金地湖城艺境 -仙林,3室1厅 | 86.83平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,300,"34,551元/平"
小区有环境 生活配套齐全 交通便捷,晓庄47号小区 -晓庄,1室1厅 | 42.82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,80,"18,683元/平"
迈皋桥 金浦御龙湾 纯毛坯 三房户型 高楼层 诚售,金浦御龙湾 -迈皋桥,3室1厅 | 88.84平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,270,"30,392元/平"
万寿地铁 招商花园城 精装修3房 产权车位 视野采光好,中国铁建青秀城 -万寿,3室2厅 | 88.03平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,315,"35,784元/平"
融信 采光无遮挡 精装三大件 交通便利 诚心出售,融信世纪东方 -仙林,3室2厅 | 119.61平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,428,"35,783元/平"
2，4号线金马路双地铁，小区环境好,钟山晶典苑 -马群,3室1厅 | 121平米 | 南 北 | 其他 | 低楼层(共14层)  | 板塔结合,350,"28,926元/平"
少量下叠，精装修交付，诚心出售，看房方便,融信世纪东方 -仙林,3室2厅 | 219.56平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,750,"34,160元/平"
栖霞 仙林湖 万达茂 边户 视野开阔 双地铁 满两年,万达茂御湖仕家一二期 -仙林,3室2厅 | 118.89平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,346,"29,103元/平"
尚东花园 3室2厅 南 北,尚东花园 -仙林,3室2厅 | 120.07平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,420,"34,980元/平"
中间楼层 采光不挡 开发商精装修 业主诚心卖价格可谈,融信世纪东方 -仙林,3室2厅 | 88.65平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,310,"34,969元/平"
满五年不唯一，南北通透，一梯两户，板房户型,亚东城东区 -仙林,3室2厅 | 107.81平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,415,"38,494元/平"
户型通透看房方便可以看山看江房龄新,翡翠天悦星园一期 -栖霞其它,3室2厅 | 92.23平米 | 南 | 其他 | 高楼层(共34层)  | 暂无数据,220,"23,854元/平"
电建海赋尚城 三房两卫 视野无遮挡 看房随时,电建海赋尚城 -万寿,3室1厅 | 99.01平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,297,"29,997元/平"
栖霞 满五年唯一 边户 总价低 位置好 采光充足 急卖,摄山星城尤山苑 -栖霞其它,3室2厅 | 85.02平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,102,"11,998元/平"
华侨城洋房麓园、叠加洋房、环境悠美宜居、诚心出售,翡翠天域麓园  -栖霞其它,4室2厅 | 190.42平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,520,"27,309元/平"
万寿地铁 招商花园城 精装修3房 产权车位 视野采光好,中国铁建青秀城 -万寿,3室2厅 | 88.03平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,315,"35,784元/平"
此房满2年，房子不临街，中间楼层  采光好,新城香悦澜山 -仙林,3室1厅 | 90.15平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,275,"30,505元/平"
迈皋桥 金浦御龙湾 纯毛坯 三房户型 高楼层 诚售,金浦御龙湾 -迈皋桥,3室1厅 | 88.84平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,270,"30,392元/平"
顶楼带阁楼 采光充足 有钥匙 看房方便 诚心卖 位置好,摄山星城赏菊苑 -栖霞其它,2室2厅 | 85.09平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,108,"12,693元/平"
高科品质 人车分流 双阳台 楼间距大 南北通透,高科荣域 -仙林,3室2厅 | 97.81平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,375,"38,340元/平"
东边户，次顶楼，可看仙林湖，看房方便，满二无增税,万达茂御湖仕家一二期 -仙林,4室2厅 | 126.8平米 | 南 东 | 其他 | 高楼层(共34层)  | 板楼,380,"29,969元/平"
仙林大学城 次新房 洋房带院子 精装修,玲珑翠谷 -仙林,3室2厅 | 96.59平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,310,"32,095元/平"
商品房 小高层电梯房 全明大三室户型 中楼层 采光充足,新城尚座花园 -晓庄,3室1厅 | 108.84平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,280,"25,726元/平"
地铁一号线 商品房 三开间朝南,方圆绿茵 -迈皋桥,3室2厅 | 133.64平米 | 南 西南 | 其他 | 低楼层(共6层)  | 板楼,320,"23,945元/平"
新空毛坯 有钥匙 随时看 中间楼层,丽岛新城 -栖霞其它,2室2厅 | 80.58平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,140,"17,375元/平"
仙龙湾二期 电梯洋房 双阳台 位置佳 东边户 精装修,仙龙湾山庄 -仙林,3室1厅 | 120平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,525,"43,750元/平"
此房户型方正，一梯两户，采光好，满五唯一,乐居雅花园 -万寿,2室2厅 | 78.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,155,"19,696元/平"
晶都茗苑电梯房 户型棒 中上楼层 采光好 居住舒适,晶都茗苑 -栖霞其它,3室2厅 | 87.14平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,128,"14,690元/平"
纯毛坯，采光很好，业主很诚心卖,紫金上林苑 -马群,3室2厅 | 134.85平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,469,"34,780元/平"
电建海赋尚城 双南2房 总价低 南师,电建海赋尚城 -万寿,2室1厅 | 68.87平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,178,"25,846元/平"
园林小区，满五唯一，双地铁，栖霞物业，配套齐全,紫金上林苑 -马群,3室1厅 | 134.85平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,490,"36,337元/平"
海赋尚城二期 正规三室 电梯房 简装 阳光充足 满二,电建海赋尚城 -万寿,3室1厅 | 97.58平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,305,"31,257元/平"
晓庄站 1号7号线 一梯两户 大飘窗 视野特好 不临街,大地伊丽雅特湾 -晓庄,2室2厅 | 91.04平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,275,"30,207元/平"
迈皋桥地铁 林景瑞园 西边户 大四房 小区景观楼栋,林景瑞园 -晓庄,4室2厅 | 138.98平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,350,"25,184元/平"
迈皋桥地铁 迈苑小区 两室 中间楼层 诚心出售,迈苑小区 -迈皋桥,2室1厅 | 73.3平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,160,"21,829元/平"
南大和园 三室两厅两卫 诚心出售  看房有钥匙,南大和园 -仙林,3室2厅 | 129.57平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,500,"38,590元/平"
迈皋桥 长营村 大两房 采光好 诚心出售,长营村 -迈皋桥,2室2厅 | 89.26平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,220,"24,648元/平"
晶都茗苑电梯房 户型棒 中上楼层 采光好 居住舒适,晶都茗苑 -栖霞其它,3室2厅 | 87.14平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,128,"14,690元/平"
纯毛坯，采光很好，业主很诚心卖,紫金上林苑 -马群,3室2厅 | 134.85平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,469,"34,780元/平"
