新上 迈皋桥商圈 次新房 带电梯 小区中间位置诚心出售,中电颐和府邸 -迈皋桥,3室1厅 | 90.88平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,328,"36,092元/平"
小区环境好 楼层好 中间户型 全明采光无遮挡,北城嘉园 -万寿,3室1厅 | 75.7平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,176,"23,250元/平"
马群 商品房 中南世纪雅苑二期 三室精装,中南世纪雅苑二期 -马群,3室1厅 | 85.87平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,179,"20,846元/平"
诚售马群地铁口 中垠紫金观邸90平三房,中垠紫金观邸 -马群,3室1厅 | 89.73平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,224,"24,964元/平"
保利国际社区，总高17层，南北通透双阳台，近地铁,保利国际社区 -燕子矶,3室2厅 | 111.98平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,345,"30,810元/平"
融创玉兰公馆 视野好 物业好 拎包入住 南师,融创玉兰公馆一期 -燕子矶,3室2厅 | 88.25平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,315,"35,695元/平"
仙林学则路地铁  亚东城东区好楼层  位置好 视野开阔,亚东城东区 -仙林,3室2厅 | 131.47平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,375,"28,524元/平"
次顶楼的，居家精装，地铁边，无连廊，交通生活方便,中垠紫金观邸 -马群,3室1厅 | 90.81平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,285,"31,385元/平"
急 急 急 南外旁尚东花园二楼 大阳台装修好保养新,尚东花园 -仙林,3室2厅 | 111.73平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,375,"33,564元/平"
迈皋桥 迈苑小区 双南2房 中楼层  采光好,迈苑小区 -迈皋桥,2室1厅 | 64.52平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,128,"19,839元/平"
新玄武旁 中电颐和家园旁 双南户型 边户全明 地铁口,华电一宿舍 -红山,2室1厅 | 63.15平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,105,"16,628元/平"
并非一口价 满五且唯一三房两卫 装修自由发挥,咏梅山庄 -仙林,3室2厅 | 125.36平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,330,"26,325元/平"
迈皋桥地铁满5唯一南北户型 楼层采光好  生活交通方便,长营村 -迈皋桥,2室1厅 | 61.29平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,119,"19,416元/平"
中电颐和府邸 次新房，采光视野好，中间楼栋不临马路,中电颐和府邸 -迈皋桥,3室2厅 | 142.71平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,509,"35,667元/平"
马群地铁口 次新房 带电梯 三房 紫金山下,中垠紫金观邸 -马群,3室2厅 | 88.45平米 | 南 | 毛坯 | 中楼层(共13层)  | 板楼,258,"29,170元/平"
芙蓉园 纯边户 落地阳台 精装修 拎包入住 看房随时,花港幸福城芙蓉园 -马群,2室1厅 | 68.1平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,120,"17,622元/平"
科技住宅恒温恒湿恒氧 朗诗物业 大品牌，值得拥有,保利朗诗蔚蓝 -晓庄,4室2厅 | 135.32平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,418,"30,890元/平"
新城精装三大件 房东诚心卖 看房方便,新城香悦澜山 -仙林,4室2厅 | 100.2平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,270,"26,947元/平"
茉莉园边户小三房 楼层好 采光不挡 业主诚售,茉莉园 -马群,3室1厅 | 88.46平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,135,"15,262元/平"
迈皋桥 1号线 省中西医 万谷慧生活 低楼层,十字街126号 -迈皋桥,3室1厅 | 68.15平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,134,"19,663元/平"
