麒麟新城 低密度 洋房 一梯两户  精装修,启迪方洲博园 -麒麟科创园,3室2厅 | 131.9平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,360,"27,294元/平"
S6地铁口户型好跃层大四房位置佳全屋全新品牌家具家电,锦绣花园 -麒麟镇,4室2厅 | 143.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,195,"13,613元/平"
银亿东城双地铁 20多万全新婚装拎包住 全明边户随时看,银亿东城第十二街区 -麒麟镇,3室2厅 | 87.78平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,159,"18,114元/平"
南站万科品质盘高楼层次新小区空房目前已满二无增值税,万科都荟天地F区 -岔路口,3室2厅 | 118.35平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,460,"38,868元/平"
万科物业，前排无遮挡，采光好，视野好,万科都荟天地G区 -岔路口,3室1厅 | 91.15平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,340,"37,302元/平"
精装交付，三室两卫，楼层佳，采光好，业主诚意出售,融侨观澜 -江宁其它,3室1厅 | 97.53平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,230,"23,583元/平"
地铁口，大三房，户型方正，业主诚心出售，有车位,碧水湾西园 -百家湖,3室2厅 | 123.06平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,252,"20,478元/平"
大三居 采光好 s6号 三房两卫 飞机户型 生活方便,东郊小镇第一街区 -麒麟镇,3室2厅 | 115.65平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,135,"11,674元/平"
朗诗好房，视野开阔，东边户，有车位,朗诗玲珑屿 -百家湖,3室1厅 | 129.79平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,530,"40,836元/平"
三房两卫近地铁，装修保养品相佳，自住生活乐悠悠,东郊小镇第一街区 -麒麟镇,3室2厅 | 117.42平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,145,"12,349元/平"
新上房源保利中央公园西苑三房精装修，前面采光无遮挡,保利中央公园西苑 -九龙湖,3室2厅 | 89.58平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,298,"33,267元/平"
满五唯一 精装 中间楼栋 地处南京南站交通便利,万科新都荟 -岔路口,3室1厅 | 90.53平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,330,"36,453元/平"
此房精装小三房，楼层好 户型好 可拎包入住推荐,弘阳禹洲时光春晓 -淳化,3室2厅 | 87.08平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,145,"16,652元/平"
麒麟科创园 启迪方洲润园 一梯一户 业主诚售 看中可谈,启迪方洲润园 -麒麟科创园,4室2厅 | 125.7平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 塔楼,265,"21,082元/平"
湖景房 视野炸裂 无抵押 采光好,文化名园 -百家湖,3室2厅 | 140.47平米 | 东 东南 南 | 简装 | 11层  | 板塔结合,345,"24,561元/平"
S6 4号两条地铁线 三房两卫 次新房全新未住 好楼层,银亿东城第九街区 -麒麟镇,3室2厅 | 88.93平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,163,"18,330元/平"
天地新城 精装三房 好楼层 好位置 业主诚售 价格优惠,天地新城天心座 -岔路口,3室2厅 | 113.02平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,232,"20,528元/平"
朗诗大三房两卫 南北通透 采光好 视野开阔,朗诗玲珑屿 -百家湖,3室2厅 | 113.39平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,450,"39,687元/平"
精装修东边户 位置好 中间楼层 拆光充足,阳光之旅 -麒麟镇,2室1厅 | 67.07平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,113,"16,849元/平"
店长推荐：南北通透格局好 ，采光充足，配套设施齐全,同曦艺术家园 -百家湖,3室1厅 | 139.42平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,386,"27,687元/平"
诚园一期带地暖。楼层位置好。诚意出售！！！！,翠屏诚园 -上秦淮,3室2厅 | 88.85平米 | 南 | 精装 | 17层  | 板楼,248,"27,913元/平"
此房满五唯一，距3号线天元西路地铁站400米。,百家湖西花园伦敦城 -百家湖,3室1厅 | 79.64平米 | 南 北 | 简装 | 高楼层(共15层)  | 板塔结合,199,"24,988元/平"
此房科技房，新风系统，中间楼层，精装修硬装30几万,爱涛尚逸华府 -东山镇,3室1厅 | 103.99平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,239,"22,983元/平"
满五年不唯一 南北双阳台 户型方正 中间楼层,汇景新苑 -东山镇,3室2厅 | 96.09平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,210,"21,855元/平"
小高层 南北双阳台 阳光充足 得房率惬意,万科金域蓝湾 -九龙湖,3室2厅 | 135.87平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,432,"31,796元/平"
一梯一户 全明户型 楼层好采光刺眼 全新婚装,启迪方洲雅园 -麒麟科创园,4室2厅 | 125.63平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,278,"22,129元/平"
绿城建造绿城物业，南京南站颜值担。,绿城深蓝 -岔路口,3室2厅 | 130.53平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,470,"36,008元/平"
正方中路，地铁口，交通方便，房龄新,绿地理想名苑 -正方新城,3室2厅 | 101.35平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,170,"16,774元/平"
S6宁句线双地铁 4房2卫好户型 小高层好楼层 精装修,银亿东城第九街区 -麒麟镇,4室2厅 | 114.24平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,203,"17,770元/平"
百家湖CBD 精装修带地暖3房 业主很诚心卖,瑞鸿名邸 -百家湖,3室2厅 | 128.36平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,360,"28,047元/平"
中航樾府 复式大4房 满五唯一 凤凰楼层 品质小区,中航樾府 -百家湖,4室2厅 | 167.83平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,515,"30,686元/平"
万科 精装大三房 带地暖 高楼层采光视野好,万科金域蓝湾 -九龙湖,3室1厅 | 113.99平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,380,"33,337元/平"
朗诗未来家刚需三房 得房率高 户型方正三方朝南,朗诗未来家 -江宁滨江,3室2厅 | 77平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,86,"11,169元/平"
招商东望府 紫核南外旁 小区环境好 楼间距大 诚心急卖,招商正荣东望府 -江宁其它,3室2厅 | 93.91平米 | 南 | 精装 | 中楼层(共20层)  | 暂无数据,208,"22,149元/平"
婚房未入住 全新装修带地暖 全明边户 卖点太多实地看,九龙湖别墅 -九龙湖,4室2厅 | 165.42平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,570,"34,458元/平"
地铁口房 楼层好 采光好 小区环境优美,锦绣花园 -麒麟镇,2室2厅 | 85.87平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,115,"13,393元/平"
万科四期 南北通透 高楼层 采光炸裂 满二 业主诚售,万科金域蓝湾 -九龙湖,3室2厅 | 89.79平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,315,"35,082元/平"
河定桥地铁口 高楼层 南北通透 精装修,同曦青春水岸 -百家湖,2室2厅 | 85.24平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,255,"29,916元/平"
金鹰景枫太阳城 带院子 户型已改动 两房朝南 随时看房,21世纪现代城西区 -百家湖,3室1厅 | 94.53平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,270,"28,563元/平"
纯湖景，不靠双龙大道，双地铁口，装修好偶尔住,新城玖珑湖二期 -九龙湖,4室1厅 | 136.08平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,526,"38,654元/平"
景观房 好楼层 有储藏室 有车位 快快快快快快,恒安嘉园 -科学园,4室2厅 | 133.75平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,333,"24,898元/平"
百家湖大三房 满五唯一 有地暖 拎包入住,高尔夫国际花园 -百家湖,3室2厅 | 134.69平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,365,"27,100元/平"
精装修交付 带地暖 楼层好 小区环境优雅安静 万科物业,万科都荟天地F区 -岔路口,4室2厅 | 141.61平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,528,"37,286元/平"
电梯房 户型方正 临 近 地铁口 视野无任何遮挡,碧桂园汤山源著 -汤山镇,3室2厅 | 109.69平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,160,"14,587元/平"
精装修 双阳台 带花园 南北通 采光好 不遮挡 看房方便,东郊小镇第一街区 -麒麟镇,3室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,152,"15,354元/平"
仅一套 简装三房 南北通透 空置中 有院子 全天有阳光,陶苑 -江宁大学城,3室2厅 | 88.79平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,157,"17,683元/平"
20年精装次新电梯房未入住、复式房，得房率高，满2年,中航樾广场 -江宁大学城,3室2厅 | 96.73平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,276,"28,534元/平"
南京南站 绿城品质  次新房 改善户型,绿城深蓝 -岔路口,4室2厅 | 172.65平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,650,"37,649元/平"
装修灵活 户型方正 采光好 诚心卖 看房随时 急售,中南山锦花城 -江宁其它,3室2厅 | 111.86平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,249,"22,260元/平"
二期中高楼层 迎看天际线 宽阔楼间距,翠屏诚园 -上秦淮,4室2厅 | 96.57平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,315,"32,619元/平"
地铁沿线   大型成熟小区    业主诚心出售 ，价格可谈,泥塘新苑 -东山镇,3室2厅 | 96.18平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,169,"17,572元/平"
店长推荐！次新小区 三房两卫 四开间朝南,中航樾府 -百家湖,3室2厅 | 97.69平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,310,"31,734元/平"
马群东 启迪方洲智园 居家装修三室 诚心出售,启迪方洲智园 -麒麟科创园,3室2厅 | 83.35平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,172,"20,636元/平"
