精装三房  装修好 位置好  阳光好  看房方便,天元吉第城 -东山镇,3室2厅 | 85.5平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,226,"26,433元/平"
竹山校区 广兴花园 四房两卫  中间楼层 带储藏室,广兴花园 -东山镇,4室1厅 | 133.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,340,"25,465元/平"
满五唯一 采光好 阁楼已装修 业主诚心出售 看房有钥匙,金东城雅居 -东山镇,2室2厅 | 80.63平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,180,"22,325元/平"
不临地铁 东渡国际青年城 2楼 两梯三户 双阳台,东渡国际青年城 -东山镇,2室1厅 | 77.64平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,190,"24,472元/平"
利民新村 正规3房 生活方便 房主诚售,利民新村 -东山镇,3室1厅 | 69.67平米 | 南 北 | 简装 | 高楼层(共4层)  | 板塔结合,148,"21,244元/平"
叠加1跃2 边户 花园200平 居家养老,奥斯博恩庄园 -禄口,4室2厅 | 187.43平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,300,"16,006元/平"
此房采光好，视野宽阔， 业主诚心出售， 看房方便,安和家园 -东山镇,3室2厅 | 98.84平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,205,"20,741元/平"
东山街道，三房朝南，满五唯一，户型通透， 中间楼层,长塘佳苑 -东山镇,3室2厅 | 117.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,248,"21,118元/平"
融侨观澜边户 双阳台 楼层好 采光佳 南北通透,融侨观澜 -江宁其它,3室2厅 | 97.41平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,235,"24,125元/平"
上秦淮 翠屏诚园 带露台  精装,翠屏诚园 -上秦淮,4室2厅 | 79.39平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,436,"54,919元/平"
大型成熟社区！生活配套 完善 ，出行方便   户型方正,金陵天成 -东山镇,3室2厅 | 134.42平米 | 东南 | 精装 | 高楼层(共17层)  | 塔楼,312,"23,211元/平"
翠屏诚园二期。精装修四房。楼栋位置采光好,翠屏诚园 -上秦淮,4室2厅 | 112.78平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,398,"35,290元/平"
上秦淮 翠屏诚园 跃层 带露台可随时看房,翠屏诚园 -上秦淮,4室2厅 | 93.8平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,450,"47,975元/平"
竹山校区 广兴花园 四房两卫  中间楼层 带储藏室,广兴花园 -东山镇,4室1厅 | 133.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,340,"25,465元/平"
满五唯一 采光好 阁楼已装修 业主诚心出售 看房有钥匙,金东城雅居 -东山镇,2室2厅 | 80.63平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,180,"22,325元/平"
不临地铁 东渡国际青年城 2楼 两梯三户 双阳台,东渡国际青年城 -东山镇,2室1厅 | 77.64平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,190,"24,472元/平"
银城物业  楼层高 视野好 边户带入户花园,银城蓝溪郡 -正方新城,3室1厅 | 87.12平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,180,"20,662元/平"
上秦淮 翠屏诚园 带露台  精装,翠屏诚园 -上秦淮,4室2厅 | 79.39平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,436,"54,919元/平"
此房南北通透的顶复视野开阔采光好，商圈配套齐全。,山水方舟 -东山镇,4室2厅 | 142.77平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,308,"21,574元/平"
此房满五年 近地铁，格局好，中间楼层采光充足，,科苑公寓 -东山镇,3室1厅 | 113.76平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,270,"23,735元/平"
上秦淮 翠屏诚园 跃层 带露台可随时看房,翠屏诚园 -上秦淮,4室2厅 | 93.8平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,450,"47,975元/平"
东山街道，三房朝南，满五唯一，户型通透， 中间楼层,长塘佳苑 -东山镇,3室2厅 | 117.44平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,248,"21,118元/平"
天景山欣荣苑 地铁口的三房 有储 户型方正,天景山公寓欣荣苑 -东山镇,3室1厅 | 91平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,179,"19,671元/平"
飞机户型 满二 精装四房 次新小区 银城物业 诚售,银城旭辉云台天境 -上秦淮,4室1厅 | 118.98平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,350,"29,417元/平"
龙湖春江郦城新出叠墅   毛坯,龙湖春江郦城 -东山镇,4室2厅 | 141.83平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,750,"52,881元/平"
有入户花园 有露台和阁楼 满五年诚心卖,天元吉第城 -东山镇,4室2厅 | 94.45平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,278,"29,434元/平"
碧桂园精装修 新空大四房 诚心出售,南京碧桂园阅岭苑 -江宁其它,4室2厅 | 140.53平米 | 东 | 其他 | 低楼层(共8层)  | 板楼,210,"14,944元/平"
利民新村 正规3房 生活方便 房主诚售,利民新村 -东山镇,3室1厅 | 69.67平米 | 南 北 | 简装 | 高楼层(共4层)  | 板塔结合,148,"21,244元/平"
电梯房，次新房，精装修，好房推荐,中粮祥云 -江宁大学城,3室1厅 | 88.74平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,275,"30,990元/平"
业主急售 已做基础装修 南北双阳台 带产权车位,中粮彩云居 -九龙湖,3室2厅 | 123.67平米 | 南 西 北 | 精装 | 低楼层(共11层)  | 板塔结合,396,"32,021元/平"
碧桂园三期  总高五层花园洋房 看房方便 价格好谈,南京碧桂园丽华山苑 -江宁其它,4室2厅 | 130.42平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,186,"14,262元/平"
通透全明 双卫  三阳台 位置楼层好 边户 采光好,明月港湾月亮湾 -岔路口,4室2厅 | 143.42平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,307,"21,406元/平"
二次精装房，拎包入住房，看房提前联系，总高就6层！,南京碧桂园逸谷苑 -江宁其它,3室2厅 | 118.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,161,"13,536元/平"
胜太路地铁口 自住精装修 大四房 采光无遮挡 满五年,同曦艺术家园 -百家湖,4室2厅 | 158.97平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,449,"28,245元/平"
保利新上三房  中间楼层采光视野无遮挡 有地暖 满二年,保利中央公园西苑 -九龙湖,3室2厅 | 89.58平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,345,"38,514元/平"
大三房  双阳台 南北通风 中间楼层 出行便利 地铁,东郊小镇第二街区 -麒麟镇,3室2厅 | 102.98平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,169,"16,411元/平"
满2年 中间楼层 位置好不靠高铁高速 采光充足,东郊小镇第八街区 -麒麟镇,2室2厅 | 45.52平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,107,"23,507元/平"
翠屏诚园    楼层好  位置好   业主诚心卖,翠屏诚园 -上秦淮,3室2厅 | 142.82平米 | 南 北 | 精装 | 16层  | 板楼,460,"32,209元/平"
马群地铁S6三房 南北通透 采光好 楼层好,锦绣花园 -麒麟镇,3室2厅 | 132.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,215,"16,280元/平"
鲁能泰山七号院 满两年 央企大品牌 方山脚下 有钥匙,鲁能泰山7号院 -江宁大学城,3室2厅 | 171.94平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,660,"38,386元/平"
秦淮河景观带，南京南站，河景房，满两年，智能社区，,旭辉铂悦秦淮 -岔路口,4室2厅 | 142.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,770,"53,911元/平"
旭辉品质 开发商精装交付河景房无遮挡 有钥匙业主诚售,旭辉铂悦秦淮 -岔路口,3室1厅 | 98.34平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,555,"56,437元/平"
三层花园洋房一楼带院 户型方正,中南山锦花城 -江宁其它,5室2厅 | 159.46平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,500,"31,356元/平"
双龙大道地铁站，电梯住宅，5.2米挑高，配套齐全。,南方花园瑞阳居 -岔路口,2室2厅 | 43.57平米 | 西 | 精装 | 中楼层(共12层)  | 塔楼,117,"26,854元/平"
此房南北通透，采光充足，配套实施齐全，交通便利。,欣旺花苑一期 -上秦淮,4室2厅 | 129.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,175,"13,549元/平"
小区采用了多项科技系统让室内温度常年恒定26度左右,骋望骊都 -江宁大学城,3室2厅 | 108.12平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,230,"21,273元/平"
此房满五年 房子有大阁楼 有大储物间 随时可以看房,博学苑丹桂园 -江宁大学城,4室2厅 | 168.01平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,325,"19,345元/平"
泉水苑 中间楼层 大三房 房东急售S6旁 宝龙广场,泉水苑 -麒麟镇,3室2厅 | 93.58平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,135,"14,427元/平"
银河湾紫苑，改善三房，装修比较好,银河湾紫苑 -麒麟镇,3室2厅 | 130.96平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,370,"28,253元/平"
绿城深蓝 新空未入住 开发商精装,绿城深蓝 -岔路口,3室2厅 | 124.61平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,510,"40,928元/平"
次新房 三房两厅 精装 拧包入住,融侨观澜 -江宁其它,3室2厅 | 81.73平米 | 南 北 | 精装 | 中楼层(共26层)  | 塔楼,200,"24,471元/平"
三四十万精装修  视野开阔 自住保养新 诚心出售随时看,保利梧桐语花园 -江宁大学城,4室2厅 | 118.57平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,305,"25,724元/平"
博学苑丹桂园 满五 税少 采光好 小区住户素质高,博学苑丹桂园 -江宁大学城,3室2厅 | 134.33平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,258,"19,207元/平"
南北通透，户型方正，小区环境好，楼龄新。,银亿东城第十二街区 -麒麟镇,3室2厅 | 87.83平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,165,"18,787元/平"
近地铁，配套齐全，采光和视野好，诚心出售,万裕龙庭水岸 -江宁大学城,3室2厅 | 106.64平米 | 东 南 | 简装 | 中楼层(共25层)  | 板塔结合,235,"22,037元/平"
联排边户，装修没几年，基本没住过，客厅朝南，大面宽,瑞景文华 -将军大道,4室2厅 | 192.27平米 | 南 | 精装 | 4层  | 板楼,770,"40,048元/平"
南京碧桂园浅山苑 3室2厅 南 北,南京碧桂园浅山苑 -江宁其它,3室2厅 | 92.23平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,138,"14,963元/平"
业主诚心出售 满五唯一 精装修 采光不影响 精装修,保利梧桐语花园 -江宁大学城,3室2厅 | 90.89平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,220,"24,206元/平"
房子满两年 无增值税 边户 简装 采光无影响 环境好,保利梧桐语花园 -江宁大学城,4室2厅 | 119.33平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,228,"19,107元/平"
满五，看房方便，看房随时，交通便利，急售,方山熙园 -江宁大学城,3室2厅 | 135.24平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,260.2,"19,240元/平"
满二年 户型方正 小高层 绿化好 视野开阔,中南山锦花城 -江宁其它,3室2厅 | 79.6平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,200,"25,126元/平"
西边户 总共4层上叠 东园 万科物业,颐和美地 -百家湖,5室2厅 | 237.32平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,630,"26,547元/平"
商苑新村  户型方正  采光充足  视野开阔,商苑新村 -江宁大学城,3室1厅 | 119.6平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 板塔结合,245,"20,485元/平"
地铁口，不靠地铁，户型好，花园洋房，好楼栋，次顶楼,弘阳上院 -江宁大学城,3室2厅 | 96.22平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,400,"41,572元/平"
精装交付，带地暖 新空房楼层佳，视野好，万科品牌,万科都荟天地E区 -岔路口,3室2厅 | 109.25平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,460,"42,106元/平"
明月港湾 精装三房 楼层好 户型方正,明月港湾旭日湾 -岔路口,3室1厅 | 105.08平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,250,"23,792元/平"
上秦淮，地铁口，次新房，满两年，顶跃露台景观房,翠屏诚园 -上秦淮,4室2厅 | 94.51平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,430,"45,498元/平"
带30多平储藏室，户型方正，采光充足，业主诚售,金盛南苑 -岔路口,3室2厅 | 91.5平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,198,"21,640元/平"
方山脚下 次新房 诚心出售 精装无遮挡 五矿品质,五矿澜悦方山 -江宁大学城,4室2厅 | 116.66平米 | 南 | 精装 | 中楼层(共10层)  | 暂无数据,375,"32,145元/平"
高得房 改善大三房 全明精装 落地窗双阳台,翠屏诚园 -上秦淮,3室2厅 | 124.45平米 | 南 | 精装 | 17层  | 塔楼,385,"30,937元/平"
将军大道翠屏山  山水别墅  业主诚心出售,滟紫台 -将军大道,4室2厅 | 212.29平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,1090,"51,345元/平"
麒麟门 毛坯大三房 房主诚心出售 楼层好 采光好,新地雅苑 -麒麟镇,3室2厅 | 130.16平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,305,"23,433元/平"
月亮湾精装修 顶跃有露台 看房方便随时可以,明月港湾月亮湾 -岔路口,4室1厅 | 134.94平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,330,"24,456元/平"
南京南站 南部新城 总价低三房 采光好 业主诚售,左邻右里枫叶苑 -岔路口,3室1厅 | 92.09平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,200,"21,718元/平"
近地铁，采光好，交通便利，配套齐全,三钢生活区 -岔路口,3室1厅 | 101平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,225,"22,278元/平"
格局好 楼层好 视野开阔 采光充足 配套设施齐全,新城保利天地 -禄口,3室2厅 | 77.93平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,115.6,"14,834元/平"
店长推荐婚装好房 业主精心二次装修双阳台实用面积大,中航樾广场 -江宁大学城,3室1厅 | 96.71平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,306,"31,641元/平"
纯毛坯正四房 户型方正非顶楼 视野好 不遮挡 诚心出售,中浩学府风景 -江宁大学城,4室2厅 | 136.31平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,225,"16,507元/平"
河景复式低总价，精装修拎包入住，位置视野采光好,碧水湾花园 -岔路口,2室2厅 | 50.15平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,150,"29,911元/平"
满五唯一、大三房，采光无遮挡，中间楼层，出行方便。,方山熙园 -江宁大学城,3室2厅 | 114.46平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,239,"20,881元/平"
此房满五年 户型通透 楼层好 采光充足 配套设施齐全,湖滨世纪花园 -百家湖,3室2厅 | 120.48平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,275,"22,826元/平"
中粮精装三房，采光无遮挡，可拎包入住,中粮祥云 -江宁大学城,3室2厅 | 116.8平米 | 南 北 | 精装 | 低楼层(共24层)  | 塔楼,352,"30,137元/平"
通透三房，采光好，视野佳，看房方便,中南山锦花城 -江宁其它,2室2厅 | 79.32平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,220,"27,736元/平"
紫苑二期花园洋房稀有边户3房2卫 业主诚心出售,银河湾紫苑 -麒麟镇,3室2厅 | 119.29平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,255,"21,377元/平"
东城金茂悦  满两年  精装修  新空拎包入住 科技小区,东城金茂悦 -江宁其它,4室2厅 | 118.95平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,280,"23,540元/平"
满五年，精装保养好，有地暖，采光不遮挡,万科金域蓝湾 -九龙湖,3室2厅 | 134.94平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,530,"39,277元/平"
一梯一户小高层，大横厅边户带奢阔阳台，四房双卫改善,翠屏诚园 -上秦淮,4室2厅 | 113.64平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,420,"36,959元/平"
：满2年 采光好 新空毛坯 诚心出售,五矿澜悦方山 -江宁大学城,4室2厅 | 116.39平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,375,"32,220元/平"
此房满5年，户型方正，楼层好，业主诚售 带阁楼,翰香苑 -江宁大学城,3室2厅 | 105.77平米 | 东 北 | 简装 | 高楼层(共6层)  | 板楼,210,"19,855元/平"
斜顶带阁楼 不会漏水 户型好 远眺方山 诚售,翰香苑 -江宁大学城,3室2厅 | 105.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,180,"17,059元/平"
保利新上三房  中间楼层采光视野无遮挡 有地暖 满二年,保利中央公园西苑 -九龙湖,3室2厅 | 89.58平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,345,"38,514元/平"
通透全明 双卫  三阳台 位置楼层好 边户 采光好,明月港湾月亮湾 -岔路口,4室2厅 | 143.42平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,307,"21,406元/平"
二次精装房，拎包入住房，看房提前联系，总高就6层！,南京碧桂园逸谷苑 -江宁其它,3室2厅 | 118.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,161,"13,536元/平"
翠屏国际银杏苑 大三房 小区中间位置 一楼带院子,翠屏国际银杏苑 -将军大道,3室2厅 | 133.5平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,348,"26,068元/平"
三层花园洋房一楼带院 户型方正,中南山锦花城 -江宁其它,5室2厅 | 159.46平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板楼,500,"31,356元/平"
秦淮河景观带，南京南站，河景房，满两年，智能社区，,旭辉铂悦秦淮 -岔路口,4室2厅 | 142.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,770,"53,911元/平"
百平大平层看房方便 交通便利  业主诚心出售,胜泰新寓 -百家湖,3室2厅 | 162平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,310,"19,136元/平"
旭辉品质 开发商精装交付河景房无遮挡 有钥匙业主诚售,旭辉铂悦秦淮 -岔路口,3室1厅 | 98.34平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,555,"56,437元/平"
鲁能泰山七号院 满两年 央企大品牌 方山脚下 有钥匙,鲁能泰山7号院 -江宁大学城,3室2厅 | 171.94平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,660,"38,386元/平"
此房南北通透，精装修的，高楼层，采光好，视野开阔,龙湖春江郦城 -东山镇,3室2厅 | 116.2平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,499,"42,944元/平"
翠屏诚园    楼层好  位置好   业主诚心卖,翠屏诚园 -上秦淮,3室2厅 | 142.82平米 | 南 北 | 精装 | 16层  | 板楼,460,"32,209元/平"
马群地铁S6三房 南北通透 采光好 楼层好,锦绣花园 -麒麟镇,3室2厅 | 132.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,215,"16,280元/平"
同曦大三房zhongyang空调地暖 双阳台 南北通透,同曦国际广场 -百家湖,3室2厅 | 137.18平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,458,"33,387元/平"
南北通透三居室 诚心出售 户型方正,百家湖西花园巴黎城 -百家湖,3室2厅 | 121.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,330,"27,101元/平"
大三房  双阳台 南北通风 中间楼层 出行便利 地铁,东郊小镇第二街区 -麒麟镇,3室2厅 | 102.98平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,169,"16,411元/平"
满2年 中间楼层 位置好不靠高铁高速 采光充足,东郊小镇第八街区 -麒麟镇,2室2厅 | 45.52平米 | 东南 | 精装 | 中楼层(共9层)  | 板塔结合,107,"23,507元/平"
满五唯一，中楼层，江宁百家湖，得房率高，业主急售,21世纪现代城西区 -百家湖,3室2厅 | 131.63平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,330,"25,071元/平"
银城物业 二次装修 带车位 采光充足,恒大悦澜湾 -上秦淮,3室2厅 | 106.89平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,316,"29,564元/平"
万科物业。新风地暖。地铁号线。,璟悦名邸（时代天樾） -青龙山国际新城,3室2厅 | 93.94平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,245,"26,081元/平"
精装拎包入住，满五唯一，楼层好，视野宽阔，采光充足,万科金域国际 -东山镇,3室2厅 | 104.24平米 | 南 西 北 | 精装 | 高楼层(共28层)  | 板楼,269,"25,806元/平"
大学城南 毛坯大三房 一梯两户 南北朝向方正格局,陶然经典 -湖熟,3室1厅 | 90.22平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,80,"8,868元/平"
齐武路旁，武夷名仕园，中楼层精装，欢迎看房,武夷名仕园 -江宁大学城,3室1厅 | 107.02平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,225,"21,025元/平"
龙眠大道地铁口 天元吉第城 精致3房 1楼带花园40平,天元吉第城 -东山镇,3室2厅 | 86.33平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,230,"26,642元/平"
东外 五矿澜悦方山  精装修 50万 中高楼层 四房两卫,五矿澜悦方山 -江宁大学城,4室2厅 | 115.85平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,382,"32,974元/平"
五矿经典大4房，飞机户型，精装修！！！！！！,五矿澜悦方山 -江宁大学城,4室2厅 | 115.85平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,375,"32,370元/平"
地铁口  带阁楼  刚需房  采光辣眼睛  小区环境优异,武夷绿洲观竹苑 -科学园,3室1厅 | 64.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,165,"25,598元/平"
银亿东城第九街区 4室1厅 南,银亿东城第九街区 -麒麟镇,4室1厅 | 125.35平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,260,"20,742元/平"
5号线 精装修 高楼层 户型方正 万科物业,中冶天城 -九龙湖,3室2厅 | 90.36平米 | 南 北 | 精装 | 高楼层(共17层)  | 板塔结合,315,"34,861元/平"
百家湖湖景精装修 诚心卖 中高楼层 采光好 视野好,百家湖国际花园 -百家湖,3室2厅 | 127.1平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,318,"25,020元/平"
银河湾紫苑南区 业主诚售 看房方便,银河湾紫苑 -麒麟镇,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,206,"18,071元/平"
万科品质 精准交付 定制储柜 地暖 新空房 楼层佳,万科都荟天地E区 -岔路口,3室2厅 | 117.3平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,518,"44,161元/平"
此房房龄新 满二 出租装修 南北通透 户型好 业主诚售,万裕龙庭水岸 -江宁大学城,3室2厅 | 104.58平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,232,"22,184元/平"
房子楼龄新 二次精装 视野开阔 采光充足 满二,银亿东城第九街区 -麒麟镇,3室2厅 | 88.13平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,165,"18,723元/平"
五矿澜悦方山 叠墅 一次未住 全屋智能系统,五矿澜悦方山 -江宁大学城,4室2厅 | 141.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,519,"36,609元/平"
紫东核，2号4号双地铁 品质户型 好楼层 采光好,恒大龙珺 -江宁其它,3室2厅 | 124.22平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,270,"21,736元/平"
青珑地铁小镇 大三房精装修 位置好楼层佳,恒大龙珺 -江宁其它,3室2厅 | 106.19平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,350,"32,960元/平"
户型方正 小区新环境好 地铁口步行800米,融侨世家 -江宁大学城,3室2厅 | 90.98平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,200,"21,983元/平"
地铁口 大里华庭北园 三房 边户 全明户型 有钥匙,华庭北园 -青龙山国际新城,3室2厅 | 125.39平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,235,"18,742元/平"
九龙湖万科南北通透四房 边户视野开阔 满五年诚心出售,万科金域蓝湾 -九龙湖,4室2厅 | 166.26平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,680,"40,900元/平"
北京东路校区 精装三房 全明通透 视野开阔,万科金域蓝湾 -九龙湖,3室1厅 | 89.83平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,363,"40,410元/平"
九龙湖板块 品质小区 万科物业 户型方正 诚心出售,万科金域蓝湾 -九龙湖,3室2厅 | 114.65平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,400,"34,889元/平"
南站商圈  楼层好  低总价 低首付  交通生活便利,左邻右里枫叶苑 -岔路口,3室1厅 | 63.82平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,160,"25,071元/平"
正方新城 次新房 围合式布局 经典三房 中高楼层诚售,荣盛隽峰雅苑 -正方新城,3室2厅 | 88.74平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 平房,170,"19,158元/平"
精装三房两卫，视野开阔，采光无遮挡,银亿东城第九街区 -麒麟镇,3室1厅 | 88.83平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,199,"22,403元/平"
众彩物流 中粮鸿云 二手车市场 南方时代广场好房推荐,中粮鸿云坊 -青龙山国际新城,3室1厅 | 90.5平米 | 南 | 其他 | 低楼层(共20层)  | 板楼,187,"20,663元/平"
此房满五唯一，1楼带院子，装修好，婚装房,华汇康城 -麒麟镇,3室1厅 | 125.24平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,220,"17,567元/平"
精装修纯新空房，小区中间位置，视野采光好,银城蓝溪郡 -正方新城,3室2厅 | 78.11平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,120,"15,363元/平"
精装三房两卫 边户位置好 采光无挡 税费少,翠屏城 -禄口,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,135,"11,539元/平"
开发商精装修 采光充足 户型方正 得房率高 有车位可谈,新城玖珑湖一期 -九龙湖,3室2厅 | 88.9平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,290,"32,621元/平"
小区安静  楼层好  采光不挡正规三房,瀛洲湾 -岔路口,3室2厅 | 103.42平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,248,"23,980元/平"
江宁正轴，正方中路地铁，飞机户型,绿地理想名苑 -正方新城,3室2厅 | 104.46平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,184,"17,615元/平"
此房房龄新 满二 出租装修 南北通透 户型好 业主诚售,万裕龙庭水岸 -江宁大学城,3室2厅 | 104.58平米 | 南 北 | 精装 | 中楼层(共25层)  | 板塔结合,232,"22,184元/平"
银河湾紫苑南区 业主诚售 看房方便,银河湾紫苑 -麒麟镇,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,206,"18,071元/平"
此房采光无遮挡 南北通透 户型方正 看房方便,明月港湾星河湾 -岔路口,4室2厅 | 143.81平米 | 南 北 | 精装 | 低楼层(共10层)  | 板塔结合,309,"21,487元/平"
紫东核，2号4号双地铁 品质户型 好楼层 采光好,恒大龙珺 -江宁其它,3室2厅 | 124.22平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,270,"21,736元/平"
