艾菲花园 三房两卫 好楼层 业主诚心,艾菲花园 -高新区,3室2厅 | 93.14平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,208,"22,332元/平"
满五年 精装修 密码看房业主诚心卖 弘扬商圈 双地铁,天润城第十六街区南区 -桥北,3室2厅 | 104.1平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,189,"18,156元/平"
天润城地铁口 三房双卫精装修L型阳台  中上楼层,天润城第九街区 -桥北,3室2厅 | 101.67平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,197,"19,377元/平"
满五唯一 精装三房 全天采光 拎包即住 诚心卖房,威尼斯水城第十二街区 -桥北,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,176,"16,449元/平"
明发大三期 精装三房 视野开阔 江景,明发滨江新城大三期 -桥北,3室2厅 | 115.04平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,203,"17,647元/平"
金象城旁 双地铁距地铁口100米  带电梯 含15平地下室,江畔明珠广场 -桥北,3室2厅 | 123.69平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,189,"15,281元/平"
近弘阳广场 精装修 高楼层 视野空,天润城第十六街区南区 -桥北,2室2厅 | 77.29平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,129,"16,691元/平"
2公里研创园，15公里直达河西，商品房位置好,中海万锦熙岸一期 -江浦街道,3室2厅 | 93.67平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,209,"22,313元/平"
扬子江隧道口 地铁口 满五唯一 户型好,乐府江南家园 -顶山街道,3室2厅 | 104.72平米 | 南 | 简装 | 低楼层(共10层)  | 板楼,135,"12,892元/平"
户型方正 布局合理  采光不挡,朗诗未来街区二期 -高新区,3室2厅 | 73.63平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,142,"19,286元/平"
满两年 高楼层 河景江景房 好位置 诚心出售 随时看房,江与城 -顶山街道,3室1厅 | 94.92平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,320,"33,713元/平"
小区中间 龙王山旁朗诗大三房 双南全明 诚心出售,朗诗未来街区二期 -高新区,3室2厅 | 87.63平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,165,"18,830元/平"
金象城旁 浦泰和天下一期 实用型三房 户型方正 采光好,浦泰和天下一期 -桥北,3室2厅 | 99.91平米 | 南 | 精装 | 低楼层(共20层)  | 塔楼,158,"15,815元/平"
新上明大三期  G6户型四房，无抵押，无户口，近地铁,明发滨江新城大三期 -桥北,4室2厅 | 144.13平米 | 南 北 | 精装 | 低楼层(共27层)  | 塔楼,258,"17,901元/平"
小区位于江北新区，户型采光好，业主诚心出售,美麟香漫山 -顶山街道,3室2厅 | 88.73平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,185,"20,850元/平"
纯毛坯  业主诚心出售  看房方便  价格可谈,威尼斯水城第十八街区 -桥北,3室2厅 | 116.8平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,159,"13,614元/平"
满五唯一 楼层好，精装修，南北户型，置换诚意卖,新城香溢紫郡 -高新区,3室2厅 | 101.21平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,158,"15,612元/平"
自带大露台，电梯房11层三房，业主诚心出售,海润枫景家园 -泰山街道,3室2厅 | 105.89平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,131,"12,372元/平"
楼栋位置好，楼层好，户型好，同小区同户型报价低,威尼斯水城第六街区 -桥北,2室2厅 | 90.44平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,150,"16,586元/平"
万江地和苑 通透大两房 精装采光好 随时看房 价格可谈,地和苑 -桥北,2室2厅 | 92.47平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,150,"16,222元/平"
满两年 开发商精装 诚心出售 随时看房,雅居乐滨江国际三四期 -顶山街道,3室2厅 | 108.13平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,310,"28,670元/平"
幸福美地电梯两房 南北通透 楼层好 全天采光 交通便利,幸福美地花园 -桥北,2室1厅 | 82.74平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,126,"15,229元/平"
无个税 满五唯一 南北户型 天润城地铁站 出行便利,天润城第十街区 -桥北,2室1厅 | 81.17平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,126,"15,523元/平"
威尼斯水城第十八街区 双地铁 随时可看 诚心出售,威尼斯水城第十八街区 -桥北,2室2厅 | 85.21平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,122,"14,318元/平"
新城花漾紫郡 改善大三房 诚心出售,新城花漾紫郡 -高新区,3室2厅 | 95.45平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,197,"20,640元/平"
中上楼层 居家自住保养好 带产权车位,新城花漾紫郡 -高新区,3室2厅 | 95.45平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,220,"23,049元/平"
好楼层，全天采光，业主置换，诚心卖房,朗诗未来街区二期 -高新区,3室2厅 | 78.29平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,156,"19,926元/平"
招商兰溪谷二期 飞机户型 高区楼层 精装修 拎包入住！,招商依山溪谷花园东苑 -高新区,3室2厅 | 85.61平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,220,"25,698元/平"
中间楼栋中间楼层 飞机户型毛坯房 看房方便 业主诚售,铭人丽岛 -桥北,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,155,"15,817元/平"
威尼斯三街区飞机户  带地暖 采光无遮挡 业主诚心出售,威尼斯水城第三街区 -桥北,3室2厅 | 135.02平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,202,"14,961元/平"
威尼斯水城第三街区 2室1厅 南,威尼斯水城第三街区 -桥北,2室1厅 | 111.11平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,167,"15,031元/平"
精装修两房，一线江景房，楼层好 视野开阔,威尼斯水城第十二街区 -桥北,2室1厅 | 87.84平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,145,"16,508元/平"
