江苏路  世贸大厦 电梯房 赤壁路 苏宁碧瑰园 虎啸花园,世贸大厦 -湖南路,3室2厅 | 184.1平米 | 西南 | 简装 | 高楼层(共32层)  | 塔楼,450,"24,444元/平"
东边户 2015年小区 三号七号双轨道交通 29,白云雅居 -五塘广场,2室1厅 | 66.66平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,175,"26,253元/平"
凤凰西街 品牌家电家具 闹中取静 不临街 地铁口,凤凰西街57号院 -凤凰西街,3室1厅 | 69.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,256,"36,650元/平"
汉中门地铁 劲顺花园 双南大两房 不临街  急卖,劲顺花园 -汉中门大街,2室1厅 | 81.25平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,253,"31,139元/平"
精装修 满五年 小三房 采光无遮挡 视野好,金舟花园 -龙江,3室1厅 | 56.33平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,369,"65,507元/平"
满五年 小区环境好 生活便利 采光好,怡景花园 -华侨路,2室1厅 | 69.04平米 | 东 南 | 简装 | 中楼层(共26层)  | 塔楼,445,"64,456元/平"
户型方正 有墙暖 阳光充足 业主诚心 阳台不算产,宁海路 -宁海路,3室1厅 | 77.25平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,598,"77,412元/平"
小面积四室  采光充足 视野广阔 交通便利 户型方正,世茂滨江新城 -热河南路,4室2厅 | 161.15平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,546,"33,882元/平"
上海路五台山 精装三房 户型方正 带大花园 生活便利,上海路 -华侨路,3室1厅 | 83.86平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,328,"39,113元/平"
山西路电梯小高层 西边户大平层 视野开阔 采光无遮挡,雅典花园 -水佐岗,4室2厅 | 192.96平米 | 南 北 | 精装 | 中楼层(共10层)  | 塔楼,675,"34,982元/平"
户型很好，格局规整，全明通透，采光好。,迎江园 -定淮门大街,2室1厅 | 57.33平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,390,"68,028元/平"
鼓楼 中低楼层 精装修 双阳台 一梯一户 高档小区,葛洲坝招商紫郡蘭园南区 -小市,3室2厅 | 127.2平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,538,"42,296元/平"
店长推荐一楼大院子 临河边 房龄新采光充足 三房一厅,五所村小区 -建宁路,3室1厅 | 66.59平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,230,"34,540元/平"
业主急售双南一北近地铁口 小区中间阳光充足拎包住,宁工新寓一村 -草场门大街,3室1厅 | 76.84平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,230,"29,933元/平"
南师大 双南一北 三房，南北通透，有车位，环境好,南师大西山 -宁海路,3室1厅 | 71.59平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,540,"75,430元/平"
教工新村 环宇城 双卧朝南 满五年 采光好 配套成熟,教工新村(鼓楼) -凤凰西街,3室1厅 | 65.51平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,174,"26,561元/平"
万达商圈 配套成熟 交通便利 诚心出售,苏宁睿城 -万达广场,3室2厅 | 141.21平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,786,"55,662元/平"
华保新寓 中楼层 正规三房 边户全明 不临街 急卖,华保新寓 -草场门大街,3室1厅 | 77.51平米 | 南 西 | 简装 | 中楼层(共7层)  | 板楼,308,"39,737元/平"
满五年银城汇文电梯大三房，户型通透方正，采光好,滨江瑞景家园 -凤凰西街,3室2厅 | 125.24平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,570,"45,513元/平"
楼栋位置佳 江景好 出行方便 自住精装修 视野开阔,恒盛金陵湾 -定淮门大街,2室2厅 | 98.21平米 | 南 | 其他 | 高楼层(共56层)  | 板塔结合,535,"54,476元/平"
满五年 精装房双阳台 带50平米实用大阁楼 全明,苏宁乐瑰园 -凤凰西街,4室1厅 | 105.94平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,330,"31,150元/平"
镇江路  满五年  三房  户型方正  交通便利  看房方便,镇江路 -水佐岗,3室1厅 | 68.7平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,169,"24,600元/平"
正规三房 中间楼层 房型正  满五年 看房方便,东宝花园 -凤凰西街,3室1厅 | 102.13平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,570,"55,812元/平"
龙江带电梯三室满五年 中间楼层 看房方便,宁工新寓二村 -草场门大街,3室1厅 | 70.89平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,309,"43,589元/平"
双南一北 明厨明卫 小区中间不临街,莫愁花园海棠里 -凤凰西街,3室1厅 | 76.25平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,180,"23,607元/平"
观音里玄武湖50中金茂汇广场南北双阳台3房,观音里小区 -湖南路,3室1厅 | 73.48平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,244,"33,207元/平"
带院子 小区中间 看过不后悔 历史新低,云谷山庄 -五塘广场,3室1厅 | 82.69平米 | 南 北 | 简装 | 低楼层(共10层)  | 板塔结合,217,"26,243元/平"
银城花园 采光不挡 南北户型 不临街 不占用 看房方便,银城花园南片 -龙江,2室1厅 | 56.78平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,388,"68,334元/平"
蔡家巷 五十 丁家桥 南北户型  有院子,蔡家巷 -许府巷,2室1厅 | 56.26平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,149,"26,485元/平"
会当凌绝顶一览众山小 视野开阔 动态江景实时呈现,世茂滨江新城 -热河南路,3室2厅 | 194.45平米 | 南 | 精装 | 高楼层(共55层)  | 板塔结合,598,"30,754元/平"
新和园 精装修 拎包入住 非顶楼  2000年商品房,新和园 -定淮门大街,3室1厅 | 84.81平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,412,"48,580元/平"
新上 楼层好 位置佳 宁工新寓 1998年房龄 南邮房改房,宁工新寓一村 -草场门大街,3室1厅 | 104.4平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,366,"35,058元/平"
凤凰西街57号 户型方正 简单装修 低总价 看房方便,凤凰西街57号院 -凤凰西街,1室1厅 | 40.11平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,135,"33,658元/平"
三牌楼 和会街 三房 低总价 诚心卖,三牌楼大街 -三牌楼,3室1厅 | 84.6平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,218,"25,769元/平"
