凤凰西街环宇城 格局好 采光好 有小区环境 配套成熟,教工新村(鼓楼) -凤凰西街,2室2厅 | 76.53平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,229,"29,923元/平"
此房户型方正，全明格局，功能间都比较大 双卧朝南,凤凰新村 -凤凰西街,2室1厅 | 51.91平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,268,"51,628元/平"
三牌楼 福建路 港宁园 环境号房龄新 一楼带院子大三房,港宁园 -福建路,3室1厅 | 91.55平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,275,"30,039元/平"
辰龙广场 带电梯 格局好 采光不挡,辰龙广场 -凤凰西街,3室2厅 | 116.92平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,610,"52,173元/平"
诚售 芳凤二十九 居家装修 户型方正 采光好 满五年,苏宁乐瑰园 -凤凰西街,2室1厅 | 50.77平米 | 南 北 | 其他 | 高楼层(共8层)  | 板楼,253,"49,833元/平"
地铁口 芳凤  一梯两户 汉中门 非顶楼,凤凰街4号 -汉中门大街,2室1厅 | 60.38平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,227,"37,596元/平"
一楼采好，商场方便，交通方便，,劲顺花园 -汉中门大街,3室2厅 | 89.75平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,390,"43,455元/平"
凤凰西街 清凉门大街 环宇城 商校小区 双南一北三房,商校小区 -凤凰西街,3室1厅 | 72.92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,285,"39,084元/平"
凤凰西街  此房满五年唯一  户型方正,凤凰西街57号院 -凤凰西街,3室1厅 | 72.01平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,290,"40,273元/平"
近地铁 次新房 环境优美 中间楼层 精装三房 两梯三户,江山汇悦山府 -金陵小区,3室2厅 | 94平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,420,"44,681元/平"
宁夏路 马鞍山 带阁楼 采光好 环境优 业主诚售,马鞍山 -水佐岗,3室1厅 | 76.19平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,410,"53,813元/平"
小区中间位置不临街， 采光无遮挡,莫愁花园海棠里 -凤凰西街,2室1厅 | 51.93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,178,"34,277元/平"
凤凰西街 南北通透 采光不遮挡 视野开阔 交通便利,龙凤玫瑰园 -凤凰西街,2室1厅 | 104.92平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,570,"54,328元/平"
房龄新 电梯房 视野好 银城物业 凤凰西街商圈,怡和佳苑 -凤凰西街,2室2厅 | 82.89平米 | 西南 南 | 其他 | 中楼层(共27层)  | 塔楼,415,"50,067元/平"
金陵新九村  一楼连家店 边户大三房 业主诚心出售,金陵新九村 -金陵小区,3室1厅 | 79.56平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,238,"29,915元/平"
虎踞北路两房总价低拎包入住诚心出售,镇江路 -水佐岗,2室1厅 | 49.75平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,120,"24,121元/平"
采光好，满五，诚心出售，看房方便,凤凰西街269至275号 -凤凰西街,2室1厅 | 60.26平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,175,"29,041元/平"
此房满五年不唯一，无增值税，户型方正，精装修,中海凤凰熙岸二期 -凤凰西街,4室1厅 | 176.7平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,1218,"68,931元/平"
满五年无增值税 采光无遮挡 诚心出售 看房方便,锦江花苑 -凤凰西街,2室2厅 | 98.43平米 | 南 | 其他 | 低楼层(共12层)  | 塔楼,600,"60,958元/平"
鼓楼小市急售大三房 飞机户型一梯一户,复地新都国际 -小市,3室2厅 | 102.14平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,479,"46,897元/平"
房子满五年唯一，楼层好，安静，无抵押贷款，诚心出售,凤凰花园城静幽园 -凤凰西街,3室2厅 | 89.49平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,450,"50,285元/平"
水佐岗新上房源 楼层好全明 无遮挡  看房方便,水佐岗48巷5号 -水佐岗,3室1厅 | 68.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,305,"44,358元/平"
双南一北大三房 中间楼层 通透 采光视野佳 看房方便,戴家巷 -水佐岗,3室1厅 | 69.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,170,"24,560元/平"
宁海路商圈 武夷路 电梯房 双南一北边户 中间楼层29,武夷路 -宁海路,3室2厅 | 123.53平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,820,"66,381元/平"
复地新都国际 新空毛坯 罕见  好楼层  有钥匙,复地新都国际 -小市,3室1厅 | 102.14平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,470,"46,016元/平"
有电梯，中楼层 视野好，电梯直达，,名城世纪园 -凤凰西街,3室2厅 | 127.26平米 | 南 | 其他 | 中楼层(共14层)  | 板楼,555,"43,612元/平"
教工新村(鼓楼) 3室1厅 南,教工新村(鼓楼) -凤凰西街,3室1厅 | 89.11平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,289,"32,432元/平"
满五年 东边户 南北通透 小区中间位置 采光好,育才公寓东片 -凤凰西街,3室1厅 | 80.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,575,"71,340元/平"
满五年不唯一，高楼层采光好，双南一北户型，居家舒适,清河新寓一村 -凤凰西街,4室1厅 | 83.15平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,640,"76,970元/平"
动物园旁 小市全明两房 业主诚售,小市村 -小市,2室1厅 | 58.14平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,168,"28,896元/平"
双南一北大三房 中间楼层 通透 采光视野佳 看房方便,戴家巷 -水佐岗,3室1厅 | 69.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,170,"24,560元/平"
一楼采好，商场方便，交通方便，,劲顺花园 -汉中门大街,3室2厅 | 89.75平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,390,"43,455元/平"
复地新都国际 新空毛坯 罕见  好楼层  有钥匙,复地新都国际 -小市,3室1厅 | 102.14平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,470,"46,016元/平"
宁海路商圈 武夷路 电梯房 双南一北边户 中间楼层29,武夷路 -宁海路,3室2厅 | 123.53平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,820,"66,381元/平"
满五年无增值税 采光无遮挡 诚心出售 看房方便,锦江花苑 -凤凰西街,2室2厅 | 98.43平米 | 南 | 其他 | 低楼层(共12层)  | 塔楼,600,"60,958元/平"
有电梯，中楼层 视野好，电梯直达，,名城世纪园 -凤凰西街,3室2厅 | 127.26平米 | 南 | 其他 | 中楼层(共14层)  | 板楼,555,"43,612元/平"
三牌楼 福建路 港宁园 环境号房龄新 一楼带院子大三房,港宁园 -福建路,3室1厅 | 91.55平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,275,"30,039元/平"
小区中间位置不临街， 采光无遮挡,莫愁花园海棠里 -凤凰西街,2室1厅 | 51.93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,178,"34,277元/平"
银城聚锦园 从未入住 毛坯新房 园林式小区 楼层好,银城聚锦园 -凤凰西街,3室2厅 | 110.3平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,920,"83,409元/平"
万科物业 渡江纪念管旁 小区环境好 出行方便,恒盛金陵湾 -定淮门大街,2室2厅 | 100.13平米 | 南 | 其他 | 中楼层(共55层)  | 板塔结合,628,"62,719元/平"
赤壁路江苏路中间楼层，单价低总价低置换诚售,江苏路 -湖南路,2室1厅 | 71.36平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,210,"29,429元/平"
此房满五年，小区中间中楼层 看房方便 业主诚心出售,新河二村 -定淮门大街,2室1厅 | 49.2平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,350,"71,139元/平"
新上 新河一村 南北通透 两房,新河一村 -定淮门大街,2室1厅 | 50.82平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,368,"72,413元/平"
精装修三房，全明户型，客厅有阳台,锦绣华府东苑 -建宁路,3室1厅 | 126.61平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,436,"34,437元/平"
滨江花园东苑  满五年 大三房 看房随时 户型方正,滨江花园东园 -建宁路,3室1厅 | 78.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,169,"21,532元/平"
世茂外滩 次新房 毛坯未入住 大四房 江景好 力人不占,世茂外滩新城 -热河南路,4室2厅 | 202.54平米 | 南 | 毛坯 | 中楼层(共55层)  | 板塔结合,930,"45,917元/平"
盐仓桥5号线  有小区 环境较好 2000年房龄 小三房,中山北路348号 -建宁路,3室1厅 | 58.83平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,141,"23,968元/平"
视野宽阔，采光充足，适合三代人居家自住,恒盛金陵湾 -定淮门大街,3室1厅 | 126.04平米 | 西 南 | 其他 | 高楼层(共55层)  | 板塔结合,680,"53,952元/平"
精装修 南北朝向 全明 近2号线莫愁湖站,凤凰新村 -凤凰西街,2室1厅 | 58.44平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,218,"37,304元/平"
滨江花园西苑 中间楼层 自住精装 双南一北三房 诚售,滨江花园西园 -建宁路,3室1厅 | 76.91平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,218,"28,345元/平"
佳盛花园 龙江旁 秦淮河畔 电梯大三房 三房朝南全明,佳盛花园 -热河南路,3室2厅 | 117.98平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,470,"39,838元/平"
新模范马路地铁口 一楼带院子 工人新村 南北通透三房,工人新村 -许府巷,3室1厅 | 62.09平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,220,"35,433元/平"
深业揽江府经典三房 中高楼层江景房 有钥匙,深业揽江府 -建宁路,3室2厅 | 133.2平米 | 南 | 毛坯 | 高楼层(共47层)  | 塔楼,619,"46,472元/平"
满五 采光不遮挡 视野开阔  拎包入住 停车方便,金鹏大厦 -华侨路,4室1厅 | 111.94平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,680,"60,747元/平"
4号线地铁口 天津新村小区 全明三房 赤壁路,天津新村 -水佐岗,3室1厅 | 77.31平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,368,"47,601元/平"
古平岗22号  南北   精装修  业主诚心出售,古平岗22号 -水佐岗,3室1厅 | 67.67平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,236,"34,876元/平"
建宁路小区环境优雅 出行方便 三房通透性强,五所村小区 -建宁路,3室1厅 | 72.18平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,140,"19,396元/平"
邮政世纪花园 不占 中间位置 看小区全景 双南 诚售,邮政世纪花园 -凤凰西街,2室2厅 | 75.91平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,510,"67,185元/平"
中间楼层 西边户三房 凤凰花园城未占 看房方便,凤凰花园城静幽园 -凤凰西街,3室1厅 | 75.99平米 | 南 西 北 | 其他 | 中楼层(共7层)  | 板楼,400,"52,639元/平"
户型好，两房朝南，楼层好，得房率高,四维新村 -水佐岗,3室1厅 | 69.57平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,168,"24,149元/平"
采光好有地暖，满五年唯一，不占用，无抵押,金陵世纪花园 -凤凰西街,3室2厅 | 119.67平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,695,"58,077元/平"
三房双南 双北 户型方正 满五唯一 楼层好采光不挡,古平岗22号 -水佐岗,3室1厅 | 74.82平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,225,"30,073元/平"
华阳佳园 电梯直达 无需爬楼梯 采光好 南北通透,华阳佳园华彩苑 -凤凰西街,2室1厅 | 50.45平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,208,"41,229元/平"
满五年，采光无遮挡，可拎包入住，,凤凰花园城福安园 -凤凰西街,3室1厅 | 109.14平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,428,"39,216元/平"
业主诚意出售 满五唯一好房 看房方便,天平新村 -草场门大街,2室1厅 | 66.83平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,279,"41,748元/平"
紫峰下 房龄新商品房 中间楼层 带电梯 云岭居 双地铁,云岭居 -湖南路,3室1厅 | 103.84平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,624,"60,093元/平"
满五年不唯一 无抵押贷款 万科物业 环境好,蔚蓝之都 -汉中门大街,2室2厅 | 126.66平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,560,"44,213元/平"
紫竹林精装三房  楼层好随时看房  拎包入住,紫竹林28号 -许府巷,3室1厅 | 92.8平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,364,"39,225元/平"
2000年 五台山庄 中间楼层 双南一北 采光好 正规三房,五台山庄 -华侨路,3室1厅 | 98.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,658,"67,061元/平"
上下两层叠墅感使用面积180平带露台紧靠玄武湖,金基翠城 -小市,3室2厅 | 92.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,480,"52,050元/平"
满五年不唯一  户型方正三房朝南 楼层好采光充足,邮政世纪花园 -凤凰西街,3室1厅 | 95.6平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,648,"67,783元/平"
精装修  楼层采光好  可拎包入住,苏宁乐瑰园 -凤凰西街,3室2厅 | 112.7平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,540,"47,915元/平"
金川雅苑 中等装修两室两厅 满五 带地下室,金川雅苑 -福建路,2室2厅 | 100.69平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,315,"31,285元/平"
房子满五年不唯一 中间楼层 光线好 装修不错,中山北路 -热河南路,3室1厅 | 83.98平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,298,"35,485元/平"
龙江聚福园，小区中间位置，人车分流，采光好,聚福园一期 -龙江,3室1厅 | 106.69平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,650,"60,925元/平"
无个税 电梯房 视野好采光充足 小区新环境好,新城市广场 -龙江,2室2厅 | 52.88平米 | 东 | 其他 | 中楼层(共18层)  | 塔楼,220,"41,604元/平"
秦淮河边 虎踞路 交通便利 业主诚心卖 看房方便,虎踞路 -华侨路,2室1厅 | 49.1平米 | 西南 东北 | 其他 | 高楼层(共5层)  | 板楼,349,"71,080元/平"
江景房 深业揽江府 中间楼层 满2年 看房有密码 急售,深业揽江府 -建宁路,3室2厅 | 120.85平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,588,"48,656元/平"
我们期待的楼层来喽！满五年，随时看，诚心出售,金陵世纪花园 -凤凰西街,4室2厅 | 123.37平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,740,"59,983元/平"
鼓楼紫峰 高云岭 厚载巷  全明三房带露台  采光好,厚载巷（鼓楼） -湖南路,2室1厅 | 53.74平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,215,"40,008元/平"
前后无遮挡 阳光充足 50万精装修 南北通透户型方正,恒盛金陵湾 -定淮门大街,3室2厅 | 129.6平米 | 南 北 | 精装 | 低楼层(共55层)  | 板塔结合,700,"54,013元/平"
定淮门 舸舫西园 精装两房 双南户型,舸舫西园 -定淮门大街,2室1厅 | 56.2平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,355,"63,168元/平"
采光好，拎包入住，商场方便，交通便利,中海凤凰熙岸二期 -凤凰西街,4室2厅 | 170.25平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,1270,"74,597元/平"
鼓楼区和燕路 安怀新村 低总价房 大三房 产权清晰,安怀新村 -小市,3室1厅 | 72.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,120,"16,475元/平"
商品房 电梯房 采光好 三房朝南 环境好,长征大厦 -水佐岗,3室2厅 | 134.21平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,550,"40,981元/平"
青云巷湖北路带阁楼 独立小区干净整洁配套齐全,青云巷(鼓楼) -湖南路,3室2厅 | 87.44平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,270,"30,879元/平"
江景房 三梯两户 诚心出售 金陵湾大户型,恒盛金陵湾 -定淮门大街,4室1厅 | 193.82平米 | 西南 | 毛坯 | 中楼层(共56层)  | 板塔结合,1280,"66,041元/平"
鼓楼广场 湖南路 双南一北 全明采光佳,高云岭 -湖南路,3室1厅 | 86.08平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,265,"30,786元/平"
世茂高楼层景观房，开发商精装修，看房方便,世茂外滩新城 -热河南路,3室2厅 | 148.41平米 | 南 | 其他 | 高楼层(共55层)  | 板塔结合,608,"40,968元/平"
单总价低3房  精装带地下室 有钥匙，随时可看！！！！,蓝天园 -龙江,3室1厅 | 75.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,438,"58,299元/平"
苏宁睿城  大三房 精装修 一楼带院子 看房方便,苏宁睿城 -万达广场,3室2厅 | 139.83平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,940,"67,225元/平"
新出清凉山庄 大三居 不占用 价格好谈,清凉山庄 -华侨路,3室1厅 | 96.27平米 | 西北 | 其他 | 中楼层(共7层)  | 板楼,499,"51,834元/平"
洪庙巷 近三牌楼 福建路商圈 户型方正全明采光好,洪庙巷 -福建路,3室1厅 | 90.76平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,235,"25,893元/平"
安乐村 满五唯一 正规三房东边户 次顶楼 得房率高,安乐村 -建宁路,3室1厅 | 70.35平米 | 北 南 | 其他 | 高楼层(共6层)  | 板塔结合,160,"22,744元/平"
一梯一户 宁乐新苑小区  赤壁路 苏宁碧瑰园  华章新苑,宁乐新苑 -湖南路,4室2厅 | 118.82平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,480,"40,398元/平"
世茂低总价四房 单价低 位置好 采光佳,世茂外滩新城 -热河南路,4室2厅 | 169.92平米 | 南 北 | 其他 | 高楼层(共54层)  | 板塔结合,699,"41,138元/平"
房子满两年，业主诚心出售，精装修，看中好谈,新河一村 -定淮门大街,3室1厅 | 78.59平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,460,"58,532元/平"
文景花园 地铁口  楼层好 毛坯房  采光好,文景花园北区 -五塘广场,3室1厅 | 85.37平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,368,"43,107元/平"
不临街，纯毛坯可以随意装修，随时看房,云谷山庄 -五塘广场,3室1厅 | 82.98平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板塔结合,260,"31,333元/平"
芳草园施教 顶楼带阁楼 大四房,碧树园南片 -龙江,5室2厅 | 124.71平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,599,"48,032元/平"
清江花苑 大三房两卫  很安静通透优质 秦淮河畔,清江花苑嘉和园 -定淮门大街,3室2厅 | 134.45平米 | 东南 | 其他 | 中楼层(共19层)  | 塔楼,660,"49,089元/平"
四条巷 云南路 北京西路 双南一北大三房 看房方便,鼓楼四条巷 -湖南路,3室1厅 | 69.61平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,230,"33,042元/平"
世茂滨江新城 开发商精装两房两卫 不临高架 采光不挡,世茂滨江新城 -热河南路,2室2厅 | 124.01平米 | 南 北 | 其他 | 低楼层(共55层)  | 板塔结合,415,"33,466元/平"
新上 龙江 月光广场 电梯高层 视野好,月光广场 -龙江,3室1厅 | 107.81平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,410,"38,030元/平"
青云巷湖北路带阁楼 独立小区干净整洁配套齐全,青云巷(鼓楼) -湖南路,3室2厅 | 87.44平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,270,"30,879元/平"
金舟花园 银城汇文不占 中间楼层 满五唯一 看房方便,金舟花园 -龙江,2室2厅 | 65.59平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,460,"70,133元/平"
不占用 小区中间位置 清爽两房满五年看房有钥匙 诚售,银城花园北片 -龙江,2室1厅 | 50.13平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,269,"53,661元/平"
戴家巷  镇江路  虎踞北路  精装修,戴家巷 -水佐岗,3室1厅 | 68.45平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,175,"25,567元/平"
不占用  精装 全明边户 采光不遮挡,场门口小区14号 -龙江,3室1厅 | 68.87平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,398,"57,791元/平"
姜家圩  双南两房   精装修 有钥匙  看房方便,姜家圩 -热河南路,2室1厅 | 54.42平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,177,"32,525元/平"
世茂外滩  双南两房  楼层好  采光佳 视野开阔,世茂外滩新城 -热河南路,2室2厅 | 104.75平米 | 南 北 | 其他 | 高楼层(共55层)  | 板塔结合,470,"44,869元/平"
房子满五年 正规三房 采光好 房龄新,定淮门大街 -定淮门大街,3室1厅 | 82.85平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,560,"67,593元/平"
马台街将军庙 南北大三房 全明户型 采光刺眼,将军庙 -湖南路,3室1厅 | 74.7平米 | 南 西南 | 其他 | 中楼层(共7层)  | 板楼,215,"28,782元/平"
采光无遮挡 居家装修 看房方便 诚心出售,凤凰花园城清溪园 -凤凰西街,3室1厅 | 81.05平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,421,"51,944元/平"
不临街，满五唯一，无个税，采光不挡，精装修,新河二村 -定淮门大街,2室1厅 | 45.4平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,365,"80,397元/平"
新街口 豆菜桥小区 珠江路地铁口 采光好华侨路,豆菜桥小区 -华侨路,2室1厅 | 50.9平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,175,"34,382元/平"
芳 凤2 9 中间楼层4房 全明户型方正 离校近 价格可谈,广州路 -华侨路,4室2厅 | 124.19平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,723,"58,218元/平"
满五年，户型方正，阳光充足，业主诚心售,虎丘路 -宁海路,3室2厅 | 103.84平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,790,"76,079元/平"
湖南路丁家桥  中大医院 玄武湖地铁口 小三房,马台街 -湖南路,3室1厅 | 67.66平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,205,"30,299元/平"
南北通透，中楼层，采光好，房龄新，不临街,凤凰庄 -汉中门大街,2室1厅 | 50.1平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,230,"45,909元/平"
大桥南路新民路四平路康居新寓三房楼层适中采光好,康居新寓 -建宁路,3室1厅 | 98.42平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,308,"31,295元/平"
地铁口2号线 29 乌龙潭公园 萍聚村 虎踞路 龙蟠里,萍聚村 -华侨路,3室1厅 | 85.36平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,578,"67,714元/平"
不占用 两房户型规整看房方便 随时联系,中商万豪 -水佐岗,2室1厅 | 76.8平米 | 西北 | 其他 | 低楼层(共57层)  | 板楼,165,"21,485元/平"
精装修  南北通透三房 非顶楼 看房方便 诚心卖,凤凰西街269至275号 -凤凰西街,3室1厅 | 60.26平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,195,"32,360元/平"
龙江 高教新村 B套满五唯一  江景房 采光好,高教新村 -草场门大街,3室1厅 | 95.86平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,369,"38,494元/平"
此房满五年 视野广阔，配套设施齐全，看房方便,江东北路196号 -龙江,3室2厅 | 113.18平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,420,"37,110元/平"
满五年  房龄新  采光不遮挡  低总价  看房方便有钥匙,港口小区 -水佐岗,2室1厅 | 74.55平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,155,"20,792元/平"
单总价低3房  精装带地下室 有钥匙，随时可看！！！！,蓝天园 -龙江,3室1厅 | 75.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,438,"58,299元/平"
视野宽广 采光好 业主诚心出售,金舟花园 -龙江,2室1厅 | 68.39平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,420,"61,413元/平"
三牌楼2013电梯房 银城物业 楼层好 全明边户 诚心出售,金阜雅苑 -福建路,3室1厅 | 100.31平米 | 南 西 北 | 其他 | 高楼层(共26层)  | 板楼,384,"38,282元/平"
满五年 双南精装3房 全屋实木 有车位 中楼层不临街,东宝花园 -凤凰西街,3室2厅 | 87.7平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,598,"68,188元/平"
一楼采光无遮挡  三居 拎包入住,古平岗22号 -水佐岗,3室2厅 | 77.65平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,248,"31,939元/平"
天目路，房型好，采光好，户型方正，出行方便,天目路 -宁海路,3室1厅 | 80.66平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,468,"58,022元/平"
此房满五 近地铁采光不遮挡带大露台环境幽美 适合改善,江雁依山郡 -金陵小区,3室1厅 | 80.88平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,258,"31,900元/平"
无增值税  双南一北户型带地下室,蓝天园 -龙江,3室1厅 | 75.13平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,499,"66,419元/平"
不临街，满五唯一，无个税，采光不挡，精装修,新河二村 -定淮门大街,2室1厅 | 45.4平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,365,"80,397元/平"
新街口 豆菜桥小区 珠江路地铁口 采光好华侨路,豆菜桥小区 -华侨路,2室1厅 | 50.9平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,175,"34,382元/平"
此房居家精装修，直接入住 不临街 无遮挡,上海路 -华侨路,3室1厅 | 75.48平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,245,"32,459元/平"
苏宁睿城  科睿汇文 精装三房  有密码  视野好,苏宁睿城 -万达广场,3室2厅 | 137.63平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,938,"68,154元/平"
莫愁新寓 户型方正 配套齐全 小区中间 地铁口 满五年,莫愁新寓胜棋里 -汉中门大街,2室1厅 | 57.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,144,"25,189元/平"
虎踞关43号 虎踞关60号 有小区 物业齐全 环境优雅,虎踞关43号 -宁海路,3室1厅 | 73.58平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,486,"66,051元/平"
金陵世纪花园 户型方正 采光很好 随时看房,金陵世纪花园 -凤凰西街,3室2厅 | 96.02平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,680,"70,819元/平"
湖南路山西路少年宫旁地铁口邻中大医院满五年,马台街 -湖南路,2室1厅 | 53.85平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,195,"36,212元/平"
汉江路 三开间朝南 9号线 得房率高 中楼层,江东北路196号 -龙江,3室1厅 | 112.35平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,480,"42,724元/平"
海德卫城电梯大三房 南北通透 采光好 看房方便,海德卫城 -草场门大街,3室2厅 | 144.5平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,650,"44,983元/平"
湖南路商圈 全明户型  南北朝向 全新装修 采光好,四卫头小区 -水佐岗,3室1厅 | 69.21平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,286,"41,324元/平"
地铁口 芦席营21号 楼层好 精装小三房 光线好 不临街,芦席营 -湖南路,3室1厅 | 58.71平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,195,"33,215元/平"
汉中门大街 莫愁湖 凤凰西街 小区安静,劲顺花园 -汉中门大街,2室1厅 | 50.34平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,227,"45,094元/平"
