Total_Price,Unit_Price,District,Area,Furnished,Bedroom,Living_Room,Total_Floors,Detailed_Floor,Facing_South
69,6671,Gaochun,103.44,Other,3,2,27,13,1
69,6671,Gaochun,103.44,Other,3,2,27,13,1
70,6867,Gaochun,101.94,Other,2,1,3,1,1
66,6952,Gaochun,94.95,Other,3,2,20,10,1
102.8,8159,Gaochun,126,Other,4,2,18,13,1
80,7127,Gaochun,112.26,Other,3,2,6,5,1
49,5298,Gaochun,92.5,Other,3,1,6,5,1
60,7010,Gaochun,85.6,Not Furnished,3,2,19,9,1
88,9855,Gaochun,89.3,Fully Furnished,2,1,11,5,1
49,5951,Gaochun,82.34,Not Furnished,2,2,11,8,1
55,5466,Gaochun,100.64,Fully Furnished,2,2,5,3,1
78.8,6304,Gaochun,125,Fully Furnished,3,2,7,2,1
52.8,6230,Gaochun,84.76,Other,2,2,27,19,1
135,9288,Gaochun,145.35,Fully Furnished,4,2,18,13,1
93,9588,Gaochun,97,Fully Furnished,3,2,18,9,1
113,9968,Gaochun,113.37,Not Furnished,3,2,7,5,0
123,15711,Gaochun,78.29,Other,2,2,5,3,1
75,7970,Gaochun,94.11,Other,3,2,27,6,1
49,5584,Gaochun,87.76,Other,2,1,11,5,1
68.8,7244,Gaochun,94.98,Other,2,2,11,5,1
49,5698,Gaochun,86.01,Other,2,2,11,5,1
49,5698,Gaochun,86.01,Other,2,2,11,8,1
58,7565,Gaochun,76.67,Other,2,1,20,5,1
49,5698,Gaochun,86.01,Other,2,1,11,8,1
55,6396,Gaochun,86,Other,3,2,20,15,1
62,7210,Gaochun,86,Other,3,2,20,10,1
60,6376,Gaochun,94.11,Other,3,2,27,6,1
68,7576,Gaochun,89.76,Other,2,2,9,7,1
58,6239,Gaochun,92.97,Other,3,2,27,6,1
78,6157,Gaochun,126.69,Other,3,1,27,6,0
70,5307,Gaochun,131.91,Other,4,2,23,17,1
75,5999,Gaochun,125.03,Other,3,2,16,8,1
88,6877,Gaochun,127.97,Other,4,2,27,6,1
122.8,9644,Gaochun,127.34,Fully Furnished,4,2,20,5,1
72.8,7400,Gaochun,98.39,Fully Furnished,4,2,26,12,0
98,7539,Gaochun,130,Other,3,2,5,3,1
65.8,6936,Gaochun,94.88,Other,3,2,6,3,1
86.8,5479,Gaochun,158.43,Other,4,2,7,4,1
72.8,8303,Gaochun,87.68,Other,2,2,8,4,1
119,10033,Gaochun,118.62,Other,4,2,8,4,1
78.8,6285,Gaochun,125.39,Other,3,2,16,8,1
78,5910,Gaochun,131.99,Not Furnished,4,2,6,3,0
90,8974,Gaochun,100.3,Fully Furnished,3,2,8,2,1
72,7579,Gaochun,95,Other,3,2,20,10,1
56.8,5796,Gaochun,98,Other,2,2,27,19,1
73,5524,Gaochun,132.17,Other,4,2,6,3,1
65,7559,Gaochun,86,Not Furnished,3,1,20,10,1
108,8505,Gaochun,126.99,Other,4,2,11,8,1
88,7065,Gaochun,124.57,Fully Furnished,3,2,6,2,1
56.8,6429,Gaochun,88.35,Fully Furnished,2,2,7,2,1
118,8752,Gaochun,134.83,Other,3,2,6,3,0
66,7327,Gaochun,90.08,Other,2,2,5,3,1
68,5157,Gaochun,131.86,Other,3,2,5,4,1
80,8081,Gaochun,99,Other,2,2,11,3,1
133,12177,Gaochun,109.23,Other,3,2,8,2,1
68,7549,Gaochun,90.08,Other,2,2,5,3,1
72,8675,Gaochun,83,Fully Furnished,2,1,4,1,1
88,8041,Gaochun,109.44,Not Furnished,3,2,8,4,1
80,9024,Gaochun,88.66,Other,3,2,11,8,1
88,6672,Gaochun,131.91,Other,4,2,23,5,0
125,10559,Gaochun,118.39,Other,4,2,7,4,0
78,5918,Gaochun,131.82,Not Furnished,4,2,24,17,0
76,6696,Gaochun,113.51,Not Furnished,4,2,24,11,0
60,8755,Gaochun,68.54,Other,2,1,7,5,1
